date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2020-09-30,1425.0,59.0,24.15,59.91%,住宅大樓,8,4F/28F,2房1廳1衛,Y
2020-09-30,1164.0,0.0,64.02,,透天厝,24,A/3F,4房2廳3衛,N
2020-09-29,1990.0,41.69,47.68,78.19%,華廈,32,5F/10F,3房2廳2衛,Y
2020-09-29,940.0,31.91,29.48,71.81%,住宅大樓,26,8F/12F,3房2廳2衛,Y
2020-09-29,690.0,25.41,27.15,66.51%,華廈,13,5F/8F,1房2廳1衛,Y
2020-09-28,750.0,21.7,34.61,97.13%,公寓,35,5F/5F,3房2廳2衛,N
2020-09-28,345.0,18.7,18.41,85.87%,公寓,39,3F/5F,2房1廳1衛,N
2020-09-28,900.0,30.0,30.04,88.76%,公寓,35,1F/5F,3房2廳2衛,N
2020-09-27,950.0,0.0,34.55,,透天厝,39,A/2F,5房2廳3衛,N
2020-09-27,445.0,21.5,20.73,74.07%,華廈,24,7F/9F,1房2廳1衛,Y
2020-09-27,740.0,66.62,11.12,65.93%,住宅大樓,14,14F/18F,1房1廳1衛,Y
2020-09-27,1500.0,67.81,22.12,100.00%,公寓,42,1F/4F,3房2廳1衛,N
2020-09-27,870.0,29.0,30.02,88.63%,公寓,38,4F/5F,3房2廳2衛,N
2020-09-27,892.0,33.41,26.71,73.99%,華廈,26,4F/7F,2房2廳1衛,Y
2020-09-27,1708.0,35.09,48.62,51.13%,住宅大樓,21,9F/16F,3房2廳2衛,Y
2020-09-27,880.0,61.81,14.25,62.77%,住宅大樓,,10F/13F,1房1廳1衛,Y
2020-09-27,880.0,62.5,14.07,61.69%,住宅大樓,11,9F/19F,1房1廳1衛,Y
2020-09-27,925.0,40.41,22.92,86.14%,公寓,44,3F/5F,3房2廳1衛,N
2020-09-26,1250.0,67.0,18.65,100.00%,公寓,45,2F/4F,0房0廳1衛,N
2020-09-26,1500.0,27.5,54.45,100.00%,公寓,40,3F/5F,5房2廳2衛,N
2020-09-26,788.0,24.7,31.86,88.19%,公寓,34,4F/5F,3房2廳2衛,N
