date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2019-12-31,2360.0,43.19,54.64,52.59%,華廈,24,9F/10F,3房1廳1衛,N
2019-12-31,1320.0,40.41,32.67,83.04%,公寓,,5F/5F,3房2廳1衛,N
2019-12-31,129.5,25.2,5.14,,辦公商業大樓,22,地下1F/10F,,N
2019-12-30,3200.0,40.19,79.63,50.22%,公寓,31,1F/4F,4房2廳2衛,N
2019-12-30,1310.0,36.09,36.28,88.59%,公寓,36,2F/5F,3房2廳1衛,N
2019-12-30,1500.0,93.88,15.97,,店面（店舖),28,1F/15F,0房1廳1衛,N
2019-12-29,832.0,38.69,21.5,69.80%,華廈,26,8F/10F,2房1廳1衛,N
2019-12-29,1040.0,43.0,24.16,89.43%,公寓,40,3F/4F,3房2廳1衛,N
2019-12-28,1100.0,34.69,31.73,75.53%,公寓,36,2F/5F,3房2廳1衛,N
2019-12-28,835.0,47.41,17.61,75.98%,公寓,43,3F/5F,2房2廳1衛,N
2019-12-28,220.0,12.3,17.87,97.53%,華廈,22,"""地下2F/6F""",,N
2019-12-28,680.0,13.7,49.53,92.01%,華廈,22,"""電梯樓梯間",走廊,
2019-12-27,1140.0,47.5,24.01,86.13%,公寓,37,4F/5F,3房2廳2衛,N
2019-12-27,2000.0,0.0,38.23,,透天厝,,A/2F,0房0廳2衛,N
2019-12-27,1258.0,51.69,24.33,33.62%,套房,25,6F/6F,1房1廳1衛,N
2019-12-26,1050.0,42.19,24.91,69.48%,華廈,36,2F/7F,3房2廳2衛,N
2019-12-26,1124.0,46.59,24.1,78.12%,華廈,33,2F/9F,2房2廳1衛,N
2019-12-26,690.0,28.5,24.18,91.74%,公寓,,4F/4F,3房1廳1衛,N
2019-12-26,1168.0,58.91,19.83,54.42%,住宅大樓,,3F/27F,,N
2019-12-26,993.5,55.31,17.98,43.72%,華廈,,8F/9F,,Y
2019-12-25,7500.0,0.0,60.19,,透天厝,,A/3F,,N
2019-12-25,1080.0,29.09,37.15,68.27%,公寓,36,4F/5F,3房2廳2衛,N
2019-12-25,1415.0,57.0,24.83,72.90%,公寓,27,2F/5F,3房2廳1衛,N
2019-12-24,1980.0,38.5,51.45,59.69%,住宅大樓,11,4F/13F,4房2廳2衛,N
2019-12-24,952.0,115.69,8.23,100.00%,公寓,,1F/4F,3房1廳2衛,N
2019-12-24,850.0,22.8,37.27,71.60%,公寓,38,5F/5F,3房2廳1衛,N
2019-12-23,1100.0,33.5,32.84,86.24%,公寓,37,3F/5F,3房2廳2衛,N
2019-12-23,1380.0,52.09,26.47,89.96%,公寓,37,3F/5F,3房2廳2衛,N
2019-12-22,1080.0,32.19,33.5,81.28%,公寓,32,5F/5F,3房2廳2衛,N
2019-12-21,1492.0,49.41,30.22,89.31%,公寓,,5F/5F,6房1廳6衛,N
2019-12-21,1330.0,43.19,30.79,93.96%,公寓,,5F/5F,3房2廳2衛,N
2019-12-21,1188.0,35.31,33.69,87.30%,公寓,38,4F/5F,3房2廳2衛,N
2019-12-20,795.0,51.19,15.53,60.32%,套房,24,8F/14F,1房1廳1衛,N
2019-12-20,1365.0,38.41,35.54,78.56%,公寓,39,5F/5F,3房2廳2衛,N
2019-12-20,1028.0,56.69,18.12,47.60%,華廈,,4F/9F,1房1廳1衛,Y
2019-12-18,930.0,37.81,24.61,100.00%,公寓,,4F/4F,3房1廳1衛,N
2019-12-18,2277.0,45.31,50.3,91.26%,公寓,33,1F/5F,4房2廳2衛,N
2019-12-18,1206.0,52.41,23.02,67.94%,住宅大樓,22,11F/11F,2房2廳1衛,N
2019-12-16,720.0,27.91,25.83,84.54%,公寓,,1F/4F,3房2廳2衛,N
2019-12-16,3000.0,0.0,62.71,,透天厝,38,A/2F,6房2廳4衛,N
2019-12-16,1500.0,48.31,31.03,86.04%,公寓,,4F/4F,3房2廳2衛,N
2019-12-16,1100.0,32.5,33.88,89.31%,公寓,33,4F/5F,3房2廳2衛,N
2019-12-15,1376.0,51.31,26.84,65.10%,住宅大樓,21,10F/11F,2房2廳1衛,N
2019-12-14,1030.0,45.5,22.61,62.89%,華廈,27,4F/6F,2房1廳1衛,N
2019-12-14,2160.0,57.5,37.54,54.88%,住宅大樓,21,6F/16F,3房2廳2衛,N
2019-12-14,182.0,40.0,4.55,22.36%,華廈,22,2F/10F,,N
2019-12-14,835.0,50.81,16.45,65.14%,套房,16,10F/14F,1房1廳1衛,N
2019-12-13,895.0,34.19,26.16,92.24%,公寓,40,3F/5F,3房3廳3衛,N
2019-12-13,880.0,29.2,30.15,86.18%,公寓,,2F/4F,6房0廳4衛,N
