date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2020-12-31,1800.0,57.09,31.52,100.00%,公寓,52,1F/3F,6房1廳6衛,N
2020-12-31,1650.0,42.19,39.07,62.27%,公寓,39,1F/5F,5房1廳2衛,N
2020-12-31,1750.0,48.81,35.88,62.41%,住宅大樓,24,9F/15F,2房2廳2衛,Y
2020-12-31,903.0,68.69,13.15,61.42%,住宅大樓,23,13F/16F,0房1廳1衛,Y
2020-12-31,480.0,17.59,27.22,90.10%,公寓,,3F/4F,3房2廳2衛,N
2020-12-30,726.0,23.7,30.58,74.05%,公寓,36,5F/5F,3房2廳2衛,N
2020-12-30,2838.0,57.41,49.45,62.03%,住宅大樓,10,16F/19F,4房2廳2衛,Y
2020-12-30,1240.6,38.59,32.16,70.98%,住宅大樓,22,8F/12F,3房2廳1衛,Y
2020-12-30,1275.0,52.0,24.52,61.66%,住宅大樓,25,7F/14F,2房1廳1衛,Y
2020-12-29,760.0,0.0,19.78,,透天厝,,A/2F,4房2廳2衛,N
2020-12-29,910.0,34.19,26.59,93.29%,公寓,,4F/5F,3房2廳1衛,N
2020-12-29,1610.0,59.5,27.06,57.60%,住宅大樓,1,4F/26F,2房1廳1衛,Y
2020-12-29,720.0,44.91,16.04,44.78%,住宅大樓,25,8F/24F,1房0廳1衛,Y
2020-12-29,1268.0,41.41,30.64,89.90%,公寓,39,4F/5F,3房2廳1衛,N
2020-12-28,2055.0,44.0,46.75,87.34%,公寓,40,4F/5F,4房2廳2衛,N
2020-12-28,1280.0,51.19,24.98,100.00%,公寓,,1F/4F,3房2廳1衛,N
2020-12-28,601.0,33.59,17.9,52.07%,華廈,17,1F/5F,1房0廳1衛,Y
2020-12-28,1400.0,48.09,29.12,84.52%,華廈,,4F/7F,3房2廳2衛,Y
2020-12-28,1200.0,40.0,30.02,74.92%,公寓,30,3F/5F,3房2廳1衛,N
2020-12-28,695.0,21.59,32.17,77.49%,華廈,25,4F/6F,3房2廳2衛,Y
2020-12-27,1550.0,72.19,21.47,57.28%,住宅大樓,1,10F/14F,2房1廳1衛,Y
2020-12-27,4850.0,0.0,91.79,,透天厝,10,A/4F,5房2廳4衛,N
2020-12-26,880.0,32.91,26.75,84.34%,公寓,40,2F/5F,3房2廳2衛,N
2020-12-26,2023.0,0.0,19.06,,透天厝,,A/1F,0房1廳0衛,N
2020-12-26,810.0,46.09,17.56,45.26%,住宅大樓,25,8F/21F,1房1廳1衛,Y
2020-12-25,502.0,39.81,12.61,65.08%,住宅大樓,25,地下1F/13F,1房1廳1衛,Y
2020-12-25,1200.0,39.31,30.5,77.83%,公寓,35,4F/5F,3房2廳2衛,N
2020-12-24,1300.0,54.91,23.68,79.15%,公寓,,3F/5F,3房2廳1衛,N
2020-12-24,2000.0,59.19,33.79,48.92%,住宅大樓,13,9F/15F,2房2廳2衛,Y
2020-12-24,200.0,21.3,9.39,100.00%,公寓,,2F/4F,2房2廳1衛,N
2020-12-23,2000.0,47.81,41.81,81.09%,公寓,31,3F/5F,4房2廳2衛,N
2020-12-23,1450.0,45.19,32.05,100.00%,公寓,52,3F/4F,3房2廳1衛,N
2020-12-23,1358.0,43.91,30.93,88.71%,公寓,,5F/5F,3房2廳2衛,N
2020-12-22,1300.0,42.59,30.51,86.71%,公寓,52,3F/4F,3房2廳1衛,N
2020-12-22,3200.0,72.12,44.36,60.05%,華廈,30,1F/7F,0房1廳1衛,Y
2020-12-21,625.0,45.5,13.73,44.72%,住宅大樓,25,9F/24F,1房0廳1衛,Y
2020-12-21,1200.0,38.91,30.84,85.89%,公寓,,2F/4F,2房1廳1衛,N
2020-12-21,1050.0,37.69,27.88,88.29%,公寓,38,4F/4F,3房2廳1衛,N
2020-12-20,820.0,30.41,27.01,79.49%,公寓,38,地下2F/3F,4房2廳1衛,N
2020-12-20,900.0,38.0,23.7,91.55%,公寓,,2F/5F,3房1廳3衛,N
2020-12-20,1560.0,59.31,26.31,87.08%,公寓,40,3F/5F,3房2廳1衛,N
2020-12-20,1700.0,72.12,23.59,87.20%,公寓,,1F/5F,4房4廳5衛,N
2020-12-20,1215.0,68.38,17.75,68.35%,住宅大樓,13,3F/17F,1房1廳1衛,Y
2020-12-19,2150.0,0.0,17.59,,透天厝,,A/2F,1房2廳1衛,N
2020-12-19,624.0,45.5,13.71,47.35%,住宅大樓,25,7F/24F,1房1廳1衛,Y
2020-12-18,3520.0,0.0,53.57,,透天厝,,A/2F,7房6廳4衛,N
2020-12-18,920.0,41.0,22.44,81.29%,公寓,,4F/5F,2房1廳1衛,N
2020-12-18,1600.0,0.0,8.01,,透天厝,,A/1F,2房1廳1衛,N
2020-12-17,1225.0,42.69,28.68,58.77%,華廈,27,2F/8F,2房2廳1衛,Y
2020-12-17,1360.0,48.81,27.88,89.40%,公寓,38,4F/5F,3房2廳1衛,N
2020-12-17,1330.0,48.81,27.26,85.97%,公寓,33,5F/5F,3房1廳1衛,N
2020-12-16,1700.0,68.0,25.01,64.24%,住宅大樓,10,6F/19F,1房2廳1衛,Y
2020-12-15,1550.0,51.19,30.29,88.08%,公寓,37,3F/5F,3房2廳2衛,N
2020-12-15,600.0,53.31,11.25,63.02%,住宅大樓,27,7F/12F,1房1廳1衛,Y
2020-12-15,638.0,47.91,13.32,58.81%,住宅大樓,17,4F/14F,0房1廳1衛,Y
2020-12-14,1550.0,40.31,38.47,80.61%,公寓,39,2F/5F,3房2廳2衛,N
2020-12-14,1900.0,51.19,37.13,72.30%,華廈,26,2F/8F,3房2廳2衛,Y
2020-12-13,485.0,53.31,9.11,59.67%,住宅大樓,25,4F/14F,1房1廳1衛,Y
2020-12-13,3000.0,0.0,64.18,,透天厝,,A/2F,4房2廳4衛,N
2020-12-13,780.0,77.38,10.07,56.04%,住宅大樓,6,3F/12F,1房1廳1衛,Y
2020-12-13,1415.0,30.3,46.73,68.86%,公寓,38,5F/5F,4房3廳2衛,N
2020-12-11,200.0,33.0,6.07,36.14%,華廈,23,地下1F/10F,,Y
2020-12-09,2350.0,59.19,39.72,84.83%,住宅大樓,29,8F/15F,3房2廳2衛,Y
2020-12-07,828.0,23.59,35.05,79.39%,公寓,39,1F/5F,3房2廳2衛,N
