date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-10-19,1305.0,47.5,27.48,57.95%,住宅大樓,,4F/24F,2房2廳1衛,N
2016-10-19,710.0,25.91,27.38,61.54%,華廈,1,3F/7F,2房2廳1衛,N
2016-10-19,1110.0,39.19,28.35,45.46%,住宅大樓,,3F/24F,2房2廳1衛,N
2016-10-19,476.0,27.59,17.22,63.45%,住宅大樓,25,9F/11F,2房1廳1衛,N
2016-10-19,1639.0,39.91,41.04,55.27%,住宅大樓,,1F/24F,2房2廳2衛,N
2016-10-19,380.0,16.59,22.93,84.03%,住宅大樓,21,16F/17F,2房2廳1衛,N
2016-10-19,1226.0,44.59,27.48,57.95%,住宅大樓,,7F/24F,2房2廳1衛,N
2016-10-19,978.0,40.41,24.18,55.40%,住宅大樓,,22F/24F,2房2廳1衛,N
2016-10-19,2033.2,18.41,110.59,42.43%,住宅大樓,,23F/24F,4房2廳2衛,N
2016-10-19,1300.0,50.91,25.56,70.84%,住宅大樓,15,13F/14F,2房2廳1衛,N
2016-10-18,650.0,31.41,20.7,86.62%,公寓,30,4F/5F,2房1廳1衛,N
2016-10-18,1300.0,0.0,38.59,,透天厝,35,A/2F,3房2廳3衛,N
2016-10-18,1150.0,38.09,30.21,89.20%,公寓,43,2F/4F,2房2廳1衛,N
2016-10-18,502.0,33.81,14.86,64.53%,住宅大樓,18,13F/15F,2房1廳1衛,N
2016-10-18,790.0,34.91,22.62,61.93%,住宅大樓,1,4F/12F,2房1廳1衛,N
2016-10-17,835.0,30.41,27.46,59.03%,華廈,,3F/4F,2房1廳1衛,N
2016-10-17,1000.0,28.5,35.09,81.71%,住宅大樓,16,10F/18F,4房2廳2衛,N
2016-10-16,430.0,22.7,18.92,85.87%,公寓,34,3F/5F,2房2廳1衛,N
2016-10-16,200.0,21.91,9.14,86.90%,公寓,34,1F/5F,1房0廳1衛,N
2016-10-16,751.0,24.59,30.48,,其他,1,14F/14F,,N
2016-10-16,898.0,38.0,23.65,100.00%,公寓,,4F/4F,3房2廳1衛,N
2016-10-16,550.0,21.2,25.89,87.29%,公寓,34,3F/5F,2房2廳1衛,N
2016-10-15,820.0,28.0,29.27,79.28%,住宅大樓,22,1F/12F,3房2廳2衛,N
2016-10-15,600.0,22.0,27.32,84.50%,公寓,34,3F/4F,3房1廳1衛,N
2016-10-15,800.0,26.59,30.11,76.90%,華廈,24,4F/7F,3房2廳1衛,N
2016-10-15,1050.0,38.91,27.03,100.00%,公寓,42,3F/4F,3房2廳1衛,N
2016-10-15,1888.0,54.41,34.69,100.00%,公寓,,1F/4F,4房2廳2衛,N
2016-10-15,600.0,29.59,20.26,100.00%,公寓,36,4F/4F,2房1廳1衛,N
2016-10-14,1100.0,32.31,34.08,59.85%,住宅大樓,1,4F/15F,2房2廳1衛,N
2016-10-14,1030.0,34.41,29.98,95.59%,公寓,38,2F/4F,2房2廳1衛,N
2016-10-14,650.0,15.2,42.79,100.00%,公寓,36,3F/5F,3房1廳2衛,N
2016-10-14,1120.0,40.91,27.41,100.00%,公寓,,4F/4F,3房2廳1衛,N
2016-10-13,1260.0,57.69,21.84,70.00%,華廈,14,4F/6F,2房1廳1衛,N
2016-10-13,1480.0,0.0,97.31,,透天厝,22,A/3F,6房2廳5衛,N
2016-10-13,500.0,20.59,24.32,100.00%,公寓,37,4F/5F,3房2廳2衛,N
2016-10-13,3600.0,0.0,72.27,,透天厝,34,A/2F,6房3廳4衛,N
2016-10-13,1125.0,35.81,31.4,86.73%,公寓,38,4F/4F,3房2廳1衛,N
2016-10-13,980.0,43.81,22.38,64.19%,套房,13,2F/14F,1房1廳1衛,N
2016-10-12,1350.0,38.0,35.55,84.85%,公寓,44,2F/5F,3房2廳1衛,N
2016-10-11,460.0,14.1,32.64,87.24%,公寓,35,3F/5F,3房2廳2衛,N
2016-10-11,1200.0,26.8,44.72,78.93%,住宅大樓,24,11F/14F,4房2廳2衛,N
2016-10-11,1200.0,55.19,21.75,100.00%,公寓,,1F/4F,3房1廳2衛,N
2016-10-11,1612.0,68.38,23.56,53.29%,住宅大樓,,14F/15F,2房2廳1衛,N
2016-10-11,1250.0,52.31,23.88,87.04%,公寓,38,5F/5F,3房2廳2衛,N
2016-10-11,5776.0,0.0,110.03,,透天厝,1,A/3F,3房3廳1衛,N
2016-10-11,660.0,23.2,28.44,77.31%,華廈,18,6F/10F,2房2廳2衛,N
2016-10-10,850.0,27.09,31.42,76.06%,公寓,32,1F/5F,2房2廳2衛,N
2016-10-10,850.0,32.19,26.39,75.30%,住宅大樓,22,10F/12F,3房2廳2衛,N
2016-10-10,688.0,40.19,17.1,56.95%,住宅大樓,21,12F/14F,2房1廳1衛,N
2016-10-09,812.0,0.0,38.59,,透天厝,35,A/2F,3房2廳3衛,N
2016-10-09,700.0,34.31,20.42,100.00%,公寓,,4F/4F,2房2廳1衛,N
2016-10-09,1530.0,53.19,28.74,57.42%,住宅大樓,4,10F/210F,2房2廳1衛,N
2016-10-08,750.0,22.7,33.01,58.39%,華廈,3,3F/8F,3房2廳2衛,N
2016-10-08,1100.0,0.0,50.99,,透天厝,20,A/3F,3房2廳3衛,N
2016-10-08,900.0,33.31,27.05,88.73%,公寓,40,2F/4F,3房2廳1衛,N
2016-10-07,818.0,29.8,27.46,59.03%,華廈,,2F/4F,2房1廳1衛,N
2016-10-07,630.0,29.0,21.73,65.66%,住宅大樓,19,7F/22F,2房2廳1衛,N
2016-10-07,1110.0,37.81,29.34,86.20%,公寓,,3F/5F,3房2廳1衛,N
2016-10-06,890.0,30.2,29.5,71.82%,住宅大樓,22,2F/12F,3房2廳2衛,N
2016-10-06,660.0,23.5,28.06,66.67%,華廈,9,2F/8F,2房2廳1衛,N
2016-10-06,1610.0,48.31,33.31,68.24%,住宅大樓,4,1F/12F,3房2廳2衛,N
2016-10-06,456.0,0.0,26.15,,透天厝,36,A/1F,3房2廳1衛,N
2016-10-06,105.0,4.2,25.3,67.81%,華廈,11,7F/8F,3房2廳2衛,N
2016-10-05,795.0,29.09,27.32,63.17%,住宅大樓,25,2F/11F,2房2廳1衛,N
2016-10-05,1250.0,38.31,32.66,,公寓,29,3F/5F,3房2廳2衛,N
2016-10-05,1250.0,39.09,32.0,75.81%,住宅大樓,21,2F/12F,3房2廳2衛,N
2016-10-05,870.0,64.5,13.49,62.21%,華廈,7,9F/9F,,N
2016-10-04,680.0,24.3,28.03,68.08%,華廈,11,8F/9F,3房2廳2衛,N
2016-10-03,1120.0,35.81,31.28,100.00%,公寓,,2F/4F,3房2廳2衛,N
2016-10-03,1100.0,35.59,30.89,82.67%,公寓,30,4F/5F,3房2廳2衛,N
2016-10-03,500.0,21.59,23.2,71.56%,住宅大樓,20,9F/19F,2房2廳1衛,N
2016-10-03,1287.0,43.69,29.43,80.17%,住宅大樓,22,9F/12F,3房2廳2衛,N
2016-10-03,1100.0,38.69,28.41,,公寓,39,4F/4F,3房2廳1衛,N
2016-10-02,800.0,54.5,14.69,67.15%,住宅大樓,10,11F/18F,,N
2016-10-02,680.0,19.2,35.42,75.46%,公寓,35,2F/5F,3房2廳2衛,N
2016-10-02,1300.0,43.31,30.0,84.18%,公寓,35,5F/5F,6房0廳6衛,N
2016-10-02,760.0,27.09,28.03,68.08%,華廈,11,9F/9F,3房2廳2衛,N
2016-10-02,1405.0,35.31,39.77,60.58%,住宅大樓,,3F/13F,3房2廳2衛,N
2016-10-02,1008.0,37.59,26.79,58.48%,住宅大樓,1,4F/12F,2房1廳1衛,N
2016-10-01,680.0,26.41,25.74,70.26%,華廈,22,2F/7F,2房2廳1衛,N
2016-10-01,1980.0,0.0,87.98,,透天厝,19,A/2F,5房3廳3衛,N
2016-10-01,900.0,35.5,25.38,61.45%,住宅大樓,6,4F/13F,2房1廳1衛,N
2016-10-01,125.0,32.91,3.8,,華廈,4,1F/6F,,N
2016-10-01,3925.0,0.0,119.63,,透天厝,3,A/3F,5房2廳6衛,N
2016-10-01,870.0,0.0,39.7,,透天厝,20,A/3F,3房2廳2衛,N
2016-10-01,1500.0,47.31,31.72,86.93%,公寓,32,2F/5F,3房1廳2衛,N
2016-10-01,1000.0,33.81,29.58,82.78%,華廈,21,8F/8F,3房1廳2衛,N
2016-10-01,880.0,32.31,27.25,92.23%,公寓,35,3F/5F,3房2廳2衛,N
2016-09-30,1860.0,63.31,29.41,60.30%,住宅大樓,,12F/210F,2房2廳1衛,N
2016-09-30,1092.0,42.69,25.56,80.02%,公寓,31,2F/5F,3房2廳1衛,N
2016-09-29,1600.0,50.69,31.56,57.33%,住宅大樓,14,8F/14F,3房2廳2衛,N
2016-09-29,750.0,49.91,15.03,62.20%,套房,8,11F/15F,1房1廳1衛,N
2016-09-29,10.0,0.0,0.45,,透天厝,37,A/2F,3房1廳1衛,N
2016-09-29,193.0,0.0,5.05,,透天厝,,A/2F,,N
2016-09-28,1250.0,34.5,36.25,71.27%,住宅大樓,15,9F/14F,3房2廳2衛,N
2016-09-28,675.0,24.09,28.03,68.08%,華廈,11,9F/9F,3房2廳2衛,N
2016-09-28,850.0,26.09,32.52,64.62%,華廈,23,4F/7F,3房2廳2衛,N
2016-09-27,1020.0,35.09,29.09,64.79%,住宅大樓,5,4F/15F,2房2廳1衛,N
