date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2019-09-30,1560.0,48.0,32.52,92.46%,華廈,41,7F/7F,2房2廳2衛,N
2019-09-29,2050.0,0.0,54.38,,透天厝,37,A/3F,4房2廳2衛,N
2019-09-29,725.0,29.2,24.85,77.58%,公寓,38,5F/5F,3房1廳1衛,N
2019-09-28,750.0,0.0,30.3,,透天厝,38,A/2F,5房3廳2衛,N
2019-09-28,910.0,29.0,31.33,84.38%,公寓,33,2F/5F,3房2廳2衛,N
2019-09-27,950.0,35.41,26.82,100.00%,公寓,,2F/4F,3房2廳2衛,N
2019-09-27,1032.0,24.0,43.02,58.66%,華廈,6,2F/8F,3房2廳2衛,N
2019-09-27,1080.0,32.41,33.28,87.04%,公寓,35,4F/5F,3房2廳2衛,N
2019-09-26,1450.0,67.12,21.6,57.10%,住宅大樓,4,6F/13F,2房1廳1衛,N
2019-09-26,1140.0,37.69,30.28,58.65%,住宅大樓,1,8F/24F,2房2廳1衛,N
2019-09-26,1225.0,42.69,28.69,89.07%,公寓,40,4F/5F,3房2廳1衛,N
2019-09-26,600.0,20.8,28.83,84.72%,住宅大樓,24,1F/16F,2房2廳2衛,N
2019-09-26,5700.0,0.0,125.9,,透天厝,6,A/3F,6房3廳4衛,N
2019-09-26,921.0,22.7,40.5,75.04%,住宅大樓,17,4F/14F,3房2廳2衛,N
2019-09-26,1725.0,64.12,26.9,61.40%,住宅大樓,,8F/14F,2房2廳1衛,N
2019-09-26,2850.0,48.19,59.19,59.65%,住宅大樓,3,21F/26F,4房2廳2衛,N
2019-09-26,1160.0,44.69,25.95,100.00%,公寓,47,4F/4F,2房2廳1衛,N
2019-09-26,1310.0,21.41,61.35,81.19%,住宅大樓,24,8F/21F,5房2廳2衛,N
2019-09-25,360.0,12.1,29.65,85.77%,公寓,38,4F/5F,3房2廳2衛,N
2019-09-25,350.0,15.7,22.34,85.92%,住宅大樓,24,9F/17F,3房2廳1衛,N
2019-09-25,650.0,50.69,12.83,57.71%,住宅大樓,19,12F/14F,1房2廳1衛,N
2019-09-24,338.0,23.91,14.17,70.58%,華廈,12,4F/8F,1房1廳1衛,N
2019-09-24,1760.0,36.19,48.56,60.43%,住宅大樓,9,10F/14F,4房2廳2衛,N
2019-09-24,1038.0,35.91,28.9,80.36%,住宅大樓,22,5F/12F,3房2廳2衛,N
2019-09-24,530.0,47.19,11.22,64.01%,住宅大樓,22,5F/12F,2房1廳1衛,N
2019-09-24,630.0,53.81,11.71,73.07%,住宅大樓,18,3F/17F,1房1廳1衛,N
2019-09-23,606.0,21.91,27.63,90.09%,公寓,32,4F/5F,3房2廳2衛,N
2019-09-23,688.0,24.5,28.03,68.08%,華廈,14,5F/9F,2房2廳2衛,N
2019-09-22,1600.0,58.5,27.33,66.14%,住宅大樓,10,5F/27F,2房2廳1衛,N
2019-09-22,1670.0,56.0,29.81,62.72%,住宅大樓,6,8F/27F,2房2廳2衛,N
2019-09-22,910.0,32.0,28.41,87.32%,公寓,33,5F/5F,3房2廳2衛,N
2019-09-22,500.0,16.7,29.96,85.63%,公寓,38,3F/5F,3房1廳1衛,N
2019-09-22,715.0,34.19,20.91,88.26%,公寓,49,3F/4F,3房2廳2衛,N
2019-09-22,1498.0,62.91,23.81,54.54%,住宅大樓,,12F/310F,2房2廳1衛,N
2019-09-22,1050.0,63.5,16.53,57.21%,華廈,8,3F/7F,2房2廳1衛,N
2019-09-21,1080.0,37.09,29.08,69.63%,住宅大樓,10,9F/12F,3房2廳2衛,N
2019-09-21,690.0,21.59,31.89,84.98%,公寓,37,4F/5F,3房2廳1衛,N
2019-09-20,1035.0,27.5,37.67,91.93%,公寓,28,5F/5F,3房2廳2衛,N
2019-09-19,7300.0,0.0,92.36,,透天厝,11,A/3F,4房2廳4衛,N
2019-09-19,1950.0,49.19,39.67,74.77%,華廈,31,7F/10F,3房2廳2衛,N
2019-09-19,1535.0,64.5,23.81,54.54%,住宅大樓,,14F/310F,2房2廳1衛,N
2019-09-18,520.0,22.2,23.44,86.83%,公寓,37,3F/5F,3房2廳1衛,N
2019-09-18,600.0,46.09,13.0,93.72%,套房,27,11F/12F,1房1廳1衛,N
2019-09-18,400.0,18.5,21.65,92.96%,公寓,37,4F/5F,2房2廳1衛,N
2019-09-18,1060.0,38.81,27.32,74.77%,住宅大樓,33,12F/12F,2房2廳2衛,N
2019-09-18,550.0,20.2,27.21,68.47%,華廈,25,2F/8F,3房2廳1衛,N
2019-09-17,642.0,28.59,22.42,69.01%,住宅大樓,17,8F/14F,2房2廳1衛,N
2019-09-17,1200.0,28.59,41.9,100.00%,公寓,,4F/4F,3房2廳2衛,N
2019-09-17,1330.0,34.91,38.08,54.87%,華廈,2,2F/7F,,N
2019-09-17,1290.0,0.0,39.32,,透天厝,21,A/2F,3房2廳3衛,N
