"買賣案件:新北市新店區房地(土地+建物),建物,107 年 1 月 至107 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
安康路三段５１４號,,107/10/31,500,0,42.53,,透天厝,,全/二層,房地(土地+建物),土:3 建:1車:0,6房1廳3衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
寶宏路４０巷３號三樓,,107/10/31,850,27.1,31.33,84.01%,公寓(5樓含以下無電梯),43,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
寶興路４５巷２弄８號３樓,寶福,107/10/31,1050,44.8,23.42,60.99%,住宅大樓(11層含以上有電梯),9,三層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
錦秀路５２巷１６號,,107/10/31,450,23.2,19.42,88.63%,公寓(5樓含以下無電梯),37,一層/五層,房地(土地+建物),土:7 建:1車:0,2房2廳1衛,,無,無,住家用,,,
安德街７２號７樓之３,寶之林乙,107/10/30,345,29.3,11.78,80.84%,套房(1房(1廳)1衛),23,七層/八層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
寶橋路７８巷２０號四樓,玉上園,107/10/30,2000,50.7,39.43,60.21%,住宅大樓(11層含以上有電梯),5,四層/二十三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。;,,
安祥路６９巷８９弄２號,綠中海,107/10/30,3268,0,124.66,,透天厝,13,全/三層,房地(土地+建物),土:8 建:1車:0,5房3廳5衛,,有,無,住家用,,,
北宜路一段１５８號１０樓之３,城市新殿,107/10/30,810,37.4,21.67,77.91%,住宅大樓(11層含以上有電梯),25,十層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。,,
安德街２號二樓,K6湛,107/10/30,1452,36.5,39.77,60.58%,住宅大樓(11層含以上有電梯),2,二層/十三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央路１６７號十七樓之１,美河市住辦區,107/10/29,1260,52.9,23.82,55.61%,住宅大樓(11層含以上有電梯),6,十七層/二十層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,無,住家用,,,
中興路３段２０５巷８弄１２號,,107/10/29,900,66.6,13.52,81.74%,公寓(5樓含以下無電梯),30,一層/五層,房地(土地+建物),土:1 建:2車:0,3房2廳2衛,,有,無,商業用,親友、員工或其他特殊關係間之交易。;,,
安康路二段１５９巷６號５樓之１,高鮮屋,107/10/29,415,28.7,14.46,64.57%,住宅大樓(11層含以上有電梯),20,五層/十五層,房地(土地+建物),土:1 建:1車:0,3房3廳1衛,,有,無,住家用,含增建或未登記建物。,,
中正路２８０巷１之２號１０樓,中正國宅,107/10/28,1385,48.9,28.32,76.64%,住宅大樓(11層含以上有電梯),32,十層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
大新街９巷１２號２樓,,107/10/28,1320,40.6,32.48,88.13%,公寓(5樓含以下無電梯),,二層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
寶橋路７３巷３號３樓,,107/10/28,960,49.3,19.46,86.72%,公寓(5樓含以下無電梯),35,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,含增建或未登記建物。,,
中興路二段２０１號２樓之１３,寶路生活館,107/10/28,590,50.4,11.7,73.06%,住宅大樓(11層含以上有電梯),17,二層/十七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。,,
永安街８３巷３弄１３號二樓,君臨大地,107/10/27,700,32.4,21.6,79.86%,住宅大樓(11層含以上有電梯),26,二層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
北新路二段１２６號十樓之八,環遊市西華館,107/10/27,630,56.6,11.13,65.97%,套房(1房(1廳)1衛),12,十層/十八層,房地(土地+建物),土:8 建:1車:0,1房1廳1衛,,有,無,住家用,,,
文化路２３之１６號２樓,高峰會,107/10/27,1718,54.2,31.67,62.51%,住宅大樓(11層含以上有電梯),9,二層/十五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央八街１２１號５樓,,107/10/27,1115,35.7,31.26,86.71%,公寓(5樓含以下無電梯),37,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
華城二路５８號,,107/10/27,2000,0,31.79,,透天厝,35,全/二層,房地(土地+建物),土:2 建:1車:0,3房2廳3衛,,有,無,住家用,有增建 花園車位一位,,
寶橋路７８巷７２號１２樓,玉上園,107/10/27,1680,56.4,29.81,62.72%,住宅大樓(11層含以上有電梯),5,十二層/二十七層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,含增建或未登記建物。,,
溪園路３５７號九樓,湯泉美地,107/10/26,1720,45.3,37.96,63.24%,住宅大樓(11層含以上有電梯),15,九層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
安民街６５巷８號十四樓,山水畫樓C區,107/10/26,965,32.3,29.86,65.12%,住宅大樓(11層含以上有電梯),23,十四層/二十三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
安康路一段２４７巷２１弄１０號,,107/10/26,392.4,0,13.96,,透天厝,57,全/一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉 親友、員工或其他特殊關係間之交易。;,,
中興路三段２３１號八樓之六,捷運新公館,107/10/25,738,62.5,11.8,75.93%,住宅大樓(11層含以上有電梯),22,八層/二十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
寶興路６１巷３０號,林園,107/10/25,1100,32.4,33.93,84.90%,公寓(5樓含以下無電梯),30,"一層,二層,三層/五層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建。門口目前有固定位置使用的車位。,,
中央路１８１號５樓之１,美河市住辦區,107/10/25,1268,53.8,23.59,59.61%,住宅大樓(11層含以上有電梯),6,五層/二十八層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,住家用,,,
光華街１２之３號五樓,元寶双囍,107/10/25,1000,34.4,29.05,58.11%,住宅大樓(11層含以上有電梯),1,五層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,建物第一次登記後移轉,,
如意街１２２號三樓,馨園,107/10/25,850,15,56.77,76.21%,公寓(5樓含以下無電梯),30,"三層,四層,五層/五層",房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,有,無,住家用,,,
安忠路５７巷２６弄２６號,,107/10/24,850,24.3,34.96,75.44%,華廈(10層含以下有電梯),19,一層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
檳榔路４１巷２號四樓,,107/10/24,980,31.6,30.97,92.61%,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,,
安康路二段２４２巷２號四樓,,107/10/24,380,12.8,29.76,85.54%,公寓(5樓含以下無電梯),32,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。;,,
中興路三段２４７巷９號四樓,,107/10/24,1000,32.2,31.02,81.00%,公寓(5樓含以下無電梯),32,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。;,,
中正路７００巷３８號十五樓,大鵬華城,107/10/24,2150,37,58.05,52.86%,住宅大樓(11層含以上有電梯),19,十五層/十六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央七街１２４號,,107/10/24,5900,0,43.75,,透天厝,,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,,
安德街６０巷１１之１號六樓,興森活B區,107/10/24,1200,34.1,35.17,54.28%,華廈(10層含以下有電梯),1,六層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
新店路２６２之１７號１４樓,碧潭有約,107/10/23,940,61.3,15.33,63.15%,套房(1房(1廳)1衛),10,十四層/十九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,含增建或未登記建物。;,,
永業路８１巷３弄２６號３樓,,107/10/23,550,21.3,25.82,100.00%,公寓(5樓含以下無電梯),38,"三層,陽台/五層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
安康路三段３５９巷１２弄８號四樓,,107/10/23,350,13.1,26.72,84.99%,公寓(5樓含以下無電梯),34,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,四親等親友、員工或其他特殊關係間之交易。;,,
永平街２６號三樓．３０號之２．３６號之２,欣殿,107/10/23,1090,37.8,28.8,66.67%,住宅大樓(11層含以上有電梯),11,三層/十四層,房地(土地+建物),土:1 建:3車:0,2房2廳1衛,,有,無,住家用,,,
永安街５６巷３８號五樓,,107/10/23,500,17.4,28.81,92.59%,公寓(5樓含以下無電梯),32,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
北新路一段２７１巷３５號１７樓,霞飛大道二期,107/10/23,2228,56.3,39.59,61.34%,住宅大樓(11層含以上有電梯),8,十七層/二十層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。,,
行政街１４巷６號２樓,,107/10/23,225.2,24.8,9.1,100.00%,公寓(5樓含以下無電梯),42,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
玫瑰路５１巷１１號５樓,賓士公寓,107/10/23,143.8,3.2,44.27,77.46%,華廈(10層含以下有電梯),33,五層/八層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。;,,
光明街１３８巷１３弄２號５樓,,107/10/23,810,31.1,26.06,100.00%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房4廳2衛,,無,無,住家用,含增建或未登記建物。,,
溪園路３０７號５樓,湯泉美地,107/10/23,1650,50.1,32.96,58.49%,住宅大樓(11層含以上有電梯),15,五層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,含增建或未登記建物。,,
安忠路５７巷２６弄４５號２樓,台北寧境大樓一期,107/10/22,750,33.5,22.39,69.82%,住宅大樓(11層含以上有電梯),15,二層/十一層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
安民街１５６巷２２號,博覽天下高更特區,107/10/22,1102,39,28.22,63.39%,住宅大樓(11層含以上有電梯),5,一層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
明德路１１１號地下層,,107/10/22,2000,55.8,35.86,97.31%,公寓(5樓含以下無電梯),29,防空避難室/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,其他,都更效益,,
明德路１１１號,,107/10/22,4000,113.6,35.2,87.20%,公寓(5樓含以下無電梯),29,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,都更效益,,
明德路１１１號二樓,,107/10/22,2600,73.9,35.2,87.20%,公寓(5樓含以下無電梯),29,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,都更效益,,
中興路二段２０１號５樓之７,寶路生活館,107/10/22,1068,44.1,24.2,73.03%,住宅大樓(11層含以上有電梯),17,五層/十七層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,含增建或未登記建物。;,,
環河路４０號二十八樓,天闊,107/10/22,3250,48.5,66.98,66.90%,住宅大樓(11層含以上有電梯),19,二十八層/三十四層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,有,無,住家用,,,
北新路二段１９６巷２１號３樓,,107/10/22,1110,40.6,27.33,86.32%,公寓(5樓含以下無電梯),41,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。;,,
安成街２２號４樓,浪漫貴族,107/10/22,480,27.1,17.72,78.63%,套房(1房(1廳)1衛),27,四層/十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,含增建或未登記建物。,,
中興路三段１５３號十三樓之３,,107/10/22,1198,64.9,18.47,60.10%,住宅大樓(11層含以上有電梯),,十三層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,建物第一次登記後移轉,,
安成街６號６樓,頂好京華,107/10/21,982,32.2,30.47,69.24%,華廈(10層含以下有電梯),20,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。;,,
永安街５巷８弄７號五樓,永安居,107/10/21,950,28.4,33.4,91.13%,公寓(5樓含以下無電梯),31,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
北宜路二段３５５－２號十樓,春風特區,107/10/20,830,27.2,30.55,60.74%,住宅大樓(11層含以上有電梯),16,十層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
博愛街１３巷１４號５樓,,107/10/20,1500,47.8,31.35,70.24%,華廈(10層含以下有電梯),35,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
北新路一段２９３號１３樓之９,都會通大廈,107/10/20,1100,49.9,22.05,55.82%,住宅大樓(11層含以上有電梯),14,十三層/十九層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。,,
安康路三段４１７號四樓之３,宜家我家,107/10/20,700,27.3,25.64,57.81%,華廈(10層含以下有電梯),,四層/六層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;,,
中興路三段１５３號九樓之２,,107/10/20,1160,62.8,18.47,60.10%,住宅大樓(11層含以上有電梯),,九層/十四層,房地(土地+建物),土:2 建:1車:0,1房2廳1衛,,有,有,住家用,建物第一次登記後移轉 本案簽訂日期107.10.20，於110.01.05權利轉讓。,,
安和路三段１７５巷５號五樓,,107/10/19,880,27.1,32.48,86.42%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
北宜路二段１７巷９號五樓,,107/10/19,800,28,28.6,87.71%,公寓(5樓含以下無電梯),33,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
玫瑰路６６巷５號五樓,,107/10/19,580,19.4,29.82,90.58%,公寓(5樓含以下無電梯),33,五層/五層,房地(土地+建物),土:9 建:1車:0,3房2廳1衛,,有,無,住家用,,,
中興路三段１５３號九樓之３,,107/10/19,1160,62.8,18.47,60.10%,住宅大樓(11層含以上有電梯),,九層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,建物第一次登記後移轉,,
中興路三段１５３號十樓之２,,107/10/19,1168,63.2,18.47,60.10%,住宅大樓(11層含以上有電梯),,十層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,建物第一次登記後移轉 本案簽訂日期107.10.19，於110.12.22權利轉讓。,,
中興路三段１５３號十二樓之３,,107/10/19,1188,64.3,18.47,60.10%,住宅大樓(11層含以上有電梯),,十二層/十四層,房地(土地+建物),土:2 建:1車:0,1房2廳1衛,,有,有,住家用,建物第一次登記後移轉,,
寶橋路８５巷３３弄１４號二樓,,107/10/19,150,31.9,4.7,100.00%,公寓(5樓含以下無電梯),38,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
