"買賣案件:臺北市文山區房地(土地+建物),建物,108 年 1 月 至108 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
興隆路四段１４３號九樓,南方翡翠,108/12/31,2360,43.2,54.64,52.59%,華廈(10層含以下有電梯),24,九層/十層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,有,無,住家用,,,
興隆路二段２２０巷５３弄２３號五樓,,108/12/31,1320,40.4,32.67,83.04%,公寓(5樓含以下無電梯),,五層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳1衛,,無,無,住家用,,,
羅斯福路四段２００號地下一層之３９,台大金站,108/12/31,129.5,25.2,5.14,,辦公商業大樓,22,地下一層/十層,房地(土地+建物),土:3 建:1車:0,,,有,無,其他,做營業使用親友、員工或其他特殊關係間之交易。;,,
萬利街５號,,108/12/30,3200,40.2,79.63,50.22%,公寓(5樓含以下無電梯),31,一層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。;,,
景華街１２８巷９２號２樓,,108/12/30,1310,36.1,36.28,88.59%,公寓(5樓含以下無電梯),36,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,,,
景興路２８２巷１號,,108/12/30,1500,93.9,15.97,,店面（店舖),28,一層/十五層,房地(土地+建物),土:1 建:1車:0,0房1廳1衛,,有,無,商業用,,,
福興路６３巷４弄１１之１４號八樓,興隆及第,108/12/29,1040,47.9,21.7,76.87%,華廈(10層含以下有電梯),23,"八層,電梯樓梯間/八層",房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
木柵路二段１０９巷１００弄１５號８樓,觀星台北,108/12/29,832,38.7,21.5,69.80%,華廈(10層含以下有電梯),26,八層/十層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。;,,
興隆路四段５８巷９之４號３樓,,108/12/29,1040,43,24.16,89.43%,公寓(5樓含以下無電梯),40,三層/四層,房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。;,,
萬美街二段２巷２４號二樓,,108/12/28,1100,34.7,31.73,75.53%,公寓(5樓含以下無電梯),36,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
