"買賣案件:新北市新店區房地(土地+建物),建物,109 年 10 月 至109 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
吉祥街１５巷１１號,馨園,109/12/31,1110,17.2,64.43,86.47%,公寓(5樓含以下無電梯),32,"一層,地下一層,地下二層/五層",房地(土地+建物),土:6 建:1車:0,5房3廳2衛,,有,無,住家用,其他增建;,,
錦秀路５２巷４１號四樓,,109/12/31,430,17,25.36,89.03%,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),土:7 建:1車:0,3房1廳1衛,,無,無,住家用,,,
吉祥街１５巷４０號二樓,馨園,109/12/31,810,18.4,44,76.62%,公寓(5樓含以下無電梯),32,"二層,三層/五層",房地(土地+建物),土:6 建:1車:0,3房2廳2衛,,無,無,住家用,"B1F車位隨到隨停,無權利持分",,
央北一路１２２號五樓,九昱希爾登,109/12/31,1322,57.2,23.12,60.96%,住宅大樓(11層含以上有電梯),,五層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,,,
玫瑰路６號,,109/12/31,1090,34.1,31.98,89.92%,公寓(5樓含以下無電梯),34,一層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,陽台外推;,,
安祥路６７巷５０弄１號三樓,綠中海,109/12/31,888,24.2,36.66,67.91%,華廈(10層含以下有電梯),15,三層/九層,房地(土地+建物),土:7 建:1車:0,4房2廳2衛,,有,有,住家用,陽台外推;其他增建;,,
中華路４２巷３７號四樓,,109/12/31,786,49.6,15.84,86.51%,公寓(5樓含以下無電梯),49,四層/四層,房地(土地+建物),土:1 建:1車:0,3房3廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;,,
中央二街６８號,,109/12/31,7800,0,33.11,,透天厝,,全/二層,房地(土地+建物),土:1 建:1車:0,4房4廳3衛,,無,無,住家用,其他增建;,,
北新路二段９１號五樓,,109/12/30,1370,51.3,26.7,94.45%,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),土:1 建:1車:0,4房0廳4衛,,無,無,住家用,陽台外推;,,
新店路５８號五樓,,109/12/30,950,35.8,26.51,96.83%,公寓(5樓含以下無電梯),40,"五層,陽台/五層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,頂樓加蓋;,,
如意街８２號,北城大亨,109/12/30,1370,40.4,33.91,81.08%,公寓(5樓含以下無電梯),32,"一層,地下一層/五層",房地(土地+建物),土:1 建:1車:0,,,有,無,住商用,其他增建;,,
中正路２４７巷１弄３號,,109/12/30,1100,42.8,25.71,100.00%,公寓(5樓含以下無電梯),47,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
中正路３９９巷１２號,,109/12/30,2000,0,38.27,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住家用,"含裝潢費;含傢俱設備費;含土地增值稅或其他稅費1,292,431元;其他 :6,000元;其他增建;含租約;",,
寶元路一段８５巷７號三樓,,109/12/30,1270,38.7,32.8,83.08%,公寓(5樓含以下無電梯),33,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;,,
