"買賣案件:新北市新店區房地(土地+建物),建物,106 年 1 月 至106 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
安民街３０３巷２４號５樓,,106/10/31,560,23.8,23.54,88.31%,公寓(5樓含以下無電梯),36,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
竹林路６３號十樓之一,水川堂,106/10/30,780,27.6,28.3,75.79%,華廈(10層含以下有電梯),18,十層/十層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
百忍街５０巷２弄２號四樓,,106/10/30,950,33.9,28.05,85.22%,公寓(5樓含以下無電梯),46,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安民街６８號四樓之一,山水居D2區,106/10/30,700,32.8,21.34,63.34%,華廈(10層含以下有電梯),18,四層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
寶中路６５巷４１號１樓,,106/10/30,450,19.2,23.45,100.00%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
檳榔路８６巷１號２樓,,106/10/30,680,27.8,24.48,85.67%,公寓(5樓含以下無電梯),36,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
長春路１５巷４４號,,106/10/29,1708,0,62.95,,透天厝,28,全/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
檳榔路７６號,,106/10/29,1350,51.1,26.4,86.54%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,共有人數2人。含增建或未登記建物。含增建或未登記建物。;,,
中央七街４２號,,106/10/29,6520,0,43.75,,透天厝,,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,,
北新路一段７６號十一樓之２,創新殿,106/10/29,1924,61.9,31.06,60.06%,住宅大樓(11層含以上有電梯),,十一層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
北宜路二段１０號１２樓,新殿傳奇,106/10/29,808,25.8,31.31,81.28%,住宅大樓(11層含以上有電梯),24,十二層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。兩人共有。含增建或未登記建物。;,,
三民路１４３巷２８弄９號,,106/10/28,1660,59.4,27.94,90.71%,公寓(5樓含以下無電梯),33,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
溪園路３６５之５號１２樓,湯泉美地,106/10/28,1420,50.7,28,65.81%,住宅大樓(11層含以上有電梯),14,十二層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中興路三段３２３號４樓,,106/10/28,1060,41.3,25.65,100.00%,公寓(5樓含以下無電梯),,"四層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
北新路一段７６號二十二樓之１,創新殿,106/10/28,2040,66.5,30.67,60.84%,住宅大樓(11層含以上有電梯),,二十二層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
北新路一段７６號五樓之２,創新殿,106/10/28,1868,59.4,31.44,59.35%,住宅大樓(11層含以上有電梯),,五層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
北新路一段７６號六樓之２,創新殿,106/10/28,1850,60.3,30.67,60.84%,住宅大樓(11層含以上有電梯),,六層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
文化路７８巷３弄７號４樓,,106/10/28,1135,37.6,30.16,79.78%,公寓(5樓含以下無電梯),36,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
北新路一段７６號八樓之２,創新殿,106/10/27,1898,61.9,30.67,60.84%,住宅大樓(11層含以上有電梯),,八層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
安祥路１０６巷２５０號４樓,伴吾別墅,106/10/26,390,15.9,24.58,76.00%,公寓(5樓含以下無電梯),19,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳2衛,,有,無,住家用,,,
寶元路一段６０號４樓,,106/10/26,1520,39.7,38.28,87.46%,公寓(5樓含以下無電梯),40,四層/四層,房地(土地+建物),土:2 建:1車:0,6房0廳6衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
永安街８３巷２１－１號二樓,君臨大地,106/10/25,340,25,13.61,80.15%,套房(1房(1廳)1衛),25,二層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
華城三路２巷２４號,,106/10/25,3000,0,65.31,,透天厝,26,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。;,,
中正路１５４巷９號三樓,,106/10/25,1150,40.4,28.49,84.69%,公寓(5樓含以下無電梯),42,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
大豐路５２號三樓之１,,106/10/25,920,37.5,24.51,80.55%,公寓(5樓含以下無電梯),36,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,,,
新店路１３９號二樓,,106/10/25,2500,42.1,59.4,71.12%,華廈(10層含以下有電梯),17,二層/十層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,有,無,辦公用,,,
寶元路一段８５巷１０號三樓,,106/10/25,704,24,29.39,83.90%,公寓(5樓含以下無電梯),40,三層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
建國路８４號,,106/10/24,4880,165.8,29.43,,店面（店舖),43,"一層,騎樓/四層",房地(土地+建物),土:2 建:1車:0,0房1廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中興路二段３３號４樓,,106/10/24,800,28.9,27.69,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
北新路一段７６號十樓之２,創新殿,106/10/24,1888,61.6,30.67,60.84%,住宅大樓(11層含以上有電梯),,十層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
北新路一段７６號二十九樓之６,創新殿,106/10/24,2285,69.7,32.79,60.65%,住宅大樓(11層含以上有電梯),,二十九層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用,預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
安德街１３０巷１０號五樓,,106/10/23,300,18.3,16.42,89.78%,公寓(5樓含以下無電梯),30,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,本件係購買房地持分,,
錦秀路５７巷７號三樓,,106/10/23,380,17.2,22.05,88.75%,公寓(5樓含以下無電梯),36,三層/五層,房地(土地+建物),土:3 建:1車:0,3房1廳1衛,,無,無,住家用,,,
永新街１０號３樓,,106/10/23,1035,37,27.99,87.96%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
建安街３３巷１９號,容石園,106/10/23,1000,34.4,29.11,93.18%,華廈(10層含以下有電梯),39,一層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安民街３２２巷７號４樓,,106/10/23,805,26.8,30.02,88.63%,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物含增建或未登記建物。;,,
德正街２７巷２９弄１３１號２樓,,106/10/23,838,37,22.67,100.00%,公寓(5樓含以下無電梯),39,二層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,無,無,住家用,含增建或未登記建物-空地加蓋。含增建或未登記建物。;,,
長春路１之３號,,106/10/23,1680,0,53.02,,透天厝,29,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
如意路２巷１１號４樓,,106/10/22,335,8.5,39.63,89.92%,公寓(5樓含以下無電梯),31,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
中興路一段２６７之４號７樓之１,中興花都,106/10/22,1230,46.2,26.6,62.87%,住宅大樓(11層含以上有電梯),22,七層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
北宜路二段１１７之２號６樓,潭天天廈,106/10/21,468,33.9,13.82,85.10%,住宅大樓(11層含以上有電梯),17,六層/十六層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安康路三段７２０號,台北新家坡儷園,106/10/21,420,25.8,16.25,74.46%,華廈(10層含以下有電梯),23,一層/九層,房地(土地+建物),土:3 建:1車:0,1房2廳1衛,,有,無,住家用,,,
寶高路１２０巷４弄４號４樓,,106/10/21,768,23,33.36,88.84%,公寓(5樓含以下無電梯),33,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
新生街４號三樓,,106/10/20,720,36.8,19.58,100.00%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
新生街４號三樓,,106/10/20,80,36.8,2.17,100.00%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
達觀路１４巷７號六樓之五,達觀鎮A2,106/10/20,350,19.8,17.66,70.09%,住宅大樓(11層含以上有電梯),21,六層/十七層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,,,
中興路三段２１４號,,106/10/20,2860,68.4,41.8,,店面（店舖),33,"一層,騎樓,夾層/五層",房地(土地+建物),土:2 建:1車:0,2房1廳2衛,,無,無,住商用,,,
北新路一段７６號十六樓之１,創新殿,106/10/20,2000,65.2,30.67,60.84%,住宅大樓(11層含以上有電梯),,十六層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋雨遮不計價。含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;,,
安德街２０號六樓,K6湛,106/10/20,1307,34.1,38.38,61.33%,住宅大樓(11層含以上有電梯),1,六層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉,,
