"買賣案件:臺北市文山區房地(土地+建物),建物,107 年 1 月 至107 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
景興路１９５號三樓之１３,,107/12/31,723,51.7,13.98,67.71%,套房(1房(1廳)1衛),24,三層/十八層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,商業用,親等兼買賣親友、員工或其他特殊關係間之交易。;,,
保儀路３１號,,107/12/31,400,58.5,6.84,,店面（店舖),,"一層,騎樓,停車場,通道,門廳/四層",房地(土地+建物),土:1 建:1車:0,0房1廳0衛,,無,無,商業用,親友、員工或其他特殊關係間之交易。;,,
木柵路三段２５巷７號三樓之１,天晏,107/12/31,1130,57.2,19.76,60.27%,套房(1房(1廳)1衛),14,三層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
一壽街３巷４號,,107/12/31,1260,58.2,21.66,100.00%,公寓(5樓含以下無電梯),,"一層,露台/四層",房地(土地+建物),土:3 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。;,,
興隆路二段７８巷８號四樓,,107/12/30,680,35.1,19.37,100.00%,公寓(5樓含以下無電梯),50,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
興隆路一段２３８號４樓,,107/12/30,1600,42.2,37.95,81.47%,華廈(10層含以下有電梯),,四層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。,,
萬芳路２２號１０樓之１,萬芳Villa,107/12/29,1120,48.5,23.07,61.38%,住宅大樓(11層含以上有電梯),14,十層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。,,
景福街２０４號４樓,,107/12/28,1160,57.1,20.33,66.55%,華廈(10層含以下有電梯),23,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
景中街３０巷１２號,景美民生大樓,107/12/28,150,50.1,2.99,,其他,31,一層/七層,房地(土地+建物),土:1 建:1車:0,,,有,無,商業用,攤位買賣,,
汀州路四段７５號４樓,,107/12/28,2280,62.7,36.35,83.21%,華廈(10層含以下有電梯),30,四層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。,,
萬美街二段４９號地下二層,敦南100,107/12/27,6500,12.3,527.51,0.06%,住宅大樓(11層含以上有電梯),23,地下二層/十二層,房地(土地+建物),土:1 建:1車:0,,,有,無,商業用,,,
仙岩路６巷２４號,,107/12/27,1200,0,22.43,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,本件買賣係親友關係間協議繼承後之交易。出賣人共3位。 人親友、員工或其他特殊關係間之交易。;,,
興隆路二段１２３巷４號,,107/12/27,420,22.3,18.8,100.00%,公寓(5樓含以下無電梯),,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;受債權債務影響或債務抵償之交易。;,,
福興路８２巷５弄９號五樓,,107/12/26,755,30.2,24.96,87.76%,公寓(5樓含以下無電梯),35,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
恆光街１４巷２２號三樓,,107/12/26,1000,36.5,27.4,86.83%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
景美街１４７號,,107/12/26,7800,44.3,176.21,70.76%,公寓(5樓含以下無電梯),,"一層,騎樓/五層",房地(土地+建物),土:1 建:5車:0,2房1廳1衛,,無,無,商業用,,,
興隆路三段２０７巷１１弄３號三樓,,107/12/25,920,31.7,29.04,74.61%,公寓(5樓含以下無電梯),37,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
萬盛街１４６巷１０號４樓,,107/12/25,1580,49.8,31.71,78.71%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:1 建:1車:0,5房0廳5衛,,無,無,住家用,依仲介公司提供之資料登錄，含增建或未登記建物。,,
忠順街一段２６巷３弄８號四樓,,107/12/25,600,25.3,23.75,100.00%,公寓(5樓含以下無電梯),,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
萬盛街８９之５號二樓,台大羅斯福,107/12/24,1300,72.4,17.95,54.05%,華廈(10層含以下有電梯),2,二層/八層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,無,住家用,,,
恆光街１７巷３８號５樓,,107/12/23,1090,40.3,27.02,88.00%,公寓(5樓含以下無電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。;,,
木柵路４段１５９巷１６０號４樓,,107/12/23,858,29.1,29.44,86.39%,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,,,
景興路２５８號８樓之６,康橋原味,107/12/23,938,50.6,18.52,60.87%,套房(1房(1廳)1衛),17,八層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,含增建或未登記建物。;,,
羅斯福路五段９７巷１７之２號３樓,,107/12/23,1040,45.4,22.91,100.00%,公寓(5樓含以下無電梯),44,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。,,
