"買賣案件:臺北市文山區房地(土地+建物),建物,105 年 1 月 至105 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
景文街８８號四樓,岳泰悅,105/12/31,1730,56.3,30.73,49.17%,住宅大樓(11層含以上有電梯),1,四層/十一層,房地(土地+建物),土:1 建:1車:0,0房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
景文街８８號八樓,岳泰悅,105/12/31,1790,58.2,30.73,49.17%,住宅大樓(11層含以上有電梯),1,八層/十一層,房地(土地+建物),土:1 建:1車:0,0房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
木柵路四段１３９號６樓之３,信義18號,105/12/31,2150,54.8,39.22,59.69%,住宅大樓(11層含以上有電梯),6,六層/十九層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,,,
景興路３００號１３樓之６,天際,105/12/31,1785,62.7,28.48,53.96%,住宅大樓(11層含以上有電梯),,十三層/二十七層,房地(土地+建物),土:3 建:1車:0,,,無,無,住家用,找補金額296911元正,,
景隆街３８.３８-１號,,105/12/30,471,51.5,9.14,,店面（店舖),,"一層,二層,騎樓/五層",房地(土地+建物),土:2 建:1車:0,,,無,無,商業用,親友、員工或其他特殊關係間之交易。 土地及建物分次登記案件。前案土地登記收件字號：106-020510號親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,,
萬美街二段５９號６樓之１,敦南100,105/12/30,530,36.2,14.63,62.75%,套房(1房(1廳)1衛),21,六層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
萬利街４１巷６號,萬芳多福大樓住戶,105/12/30,2380,32.7,72.82,25.07%,華廈(10層含以下有電梯),24,一層/八層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,有,無,住家用,地下室增建含增建或未登記建物。;,,
景興路１８８號十一樓之１７,巨星廣場大廈住商,105/12/29,530,38.6,13.73,44.72%,套房(1房(1廳)1衛),21,十一層/二十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
木柵路２段１６１巷２０號３樓,,105/12/29,868,34.7,24.98,100.00%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
景明街８號三樓,,105/12/28,1200,43.3,27.74,100.00%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
興隆路二段２２６巷８號六樓,敦南樂高,105/12/28,2250,49.6,45.32,81.02%,華廈(10層含以下有電梯),30,六層/九層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,商業用,,,
富山路１巷９號,,105/12/28,350,23.6,14.86,81.29%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:6 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
羅斯福路五段１５０巷３５號３樓,,105/12/28,1350,43,31.38,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
