"買賣案件:新北市新店區房地(土地+建物),建物,104 年 1 月 至104 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
中興路三段２３３號二十樓,捷運新公館,104/10/31,1610,52.1,30.9,76.13%,住宅大樓(11層含以上有電梯),19,二十層/二十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央路１７５號１７樓之６,美河市住辦區,104/10/31,1500,51.9,28.91,57.07%,住宅大樓(11層含以上有電梯),3,十七層/二十層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安興路９５巷２７號,,104/10/31,85,30.8,2.76,,華廈(10層含以下有電梯),3,一層/六層,房地(土地+建物),土:1 建:1車:0,,,有,無,住家用,權利人2人。社區公設。,,
華潭街２６巷３弄２７號,碧潭皇冠山莊,104/10/30,2600,0,80.67,,透天厝,15,全/四層,房地(土地+建物),土:4 建:1車:0,4房2廳4衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安民街１２１巷２號１０樓之５,美麗心殿,104/10/30,1072,31.8,33.67,66.74%,住宅大樓(11層含以上有電梯),20,十層/十六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央七街１９號二樓,中央名品,104/10/30,1820,37,49.2,60.83%,華廈(10層含以下有電梯),17,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中正路５２９號,遠東工業園區第五期,104/10/30,820,4,203.44,59.93%,華廈(10層含以下有電梯),25,一層/十層,房地(土地+建物),土:2 建:1車:0,,,有,無,工業用,二親等親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
中正路５３１號,遠東工業園區第五期,104/10/30,820,4,206.08,59.16%,華廈(10層含以下有電梯),25,一層/十層,房地(土地+建物),土:2 建:1車:0,,,有,無,工業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安祥路７３巷４９號五樓,綠灣氧生區,104/10/29,580,21.2,27.38,66.60%,華廈(10層含以下有電梯),8,五層/八層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,辦公用,,,
中華路６２號二樓,中華傑座,104/10/29,1300,41.5,31.36,100.00%,公寓(5樓含以下無電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,5房0廳3衛,,無,無,住家用,和解書之特殊交易,,
如意街１９號三樓,,104/10/29,730,25.7,28.45,87.83%,公寓(5樓含以下無電梯),33,三層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,,,
中正路３０７巷１８號七樓,安華國宅,104/10/29,700,19.6,35.78,77.72%,華廈(10層含以下有電梯),33,七層/七層,房地(土地+建物),土:4 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
中正路２８４巷４弄５號４樓,,104/10/29,1300,39.2,33.2,,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,,
安泰路２８號３樓,璦丁堡,104/10/29,1153,28.4,40.66,62.59%,華廈(10層含以下有電梯),,三層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安成街１６號二樓及安德街７１巷３４號等房屋地下層,浪漫貴族,104/10/28,580,33,17.6,60.83%,住宅大樓(11層含以上有電梯),24,二層/十一層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
華城一路５９號,,104/10/27,1600,0,37.76,,透天厝,20,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,庭園車位一位單獨車位交易。;,,
安祥路１１０巷６５號七樓,綠野香坡,104/10/27,395,17.2,22.93,83.59%,住宅大樓(11層含以上有電梯),20,七層/十七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安祥路１１０巷６７號十四樓,綠野香坡,104/10/27,380,16.9,22.51,84.04%,住宅大樓(11層含以上有電梯),20,十四層/十七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
