"買賣案件:新北市新店區房地(土地+建物),建物,105 年 1 月 至105 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
北新路一段６４巷１２弄１０號３樓,,105/10/26,1150,39.5,29.11,84.34%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中興路一段２８２-５號１２樓,現代啟示,105/10/26,1300,33.3,39.01,47.78%,住宅大樓(11層含以上有電梯),17,十二層/二十三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,親友間買賣，更正第18欄建物面積，原申報書序號A2FC10511240003親友、員工或其他特殊關係間之交易。;,,
安民街３２２巷９號三樓,,105/10/25,906,29.7,30.51,88.11%,公寓(5樓含以下無電梯),35,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
國校路６－４號六樓,信義金蘭,105/10/25,818,38.4,21.31,73.57%,華廈(10層含以下有電梯),20,六層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
新生街３巷１號四樓,,105/10/25,1040,34,30.63,82.22%,公寓(5樓含以下無電梯),42,四層/四層,房地(土地+建物),土:5 建:1車:0,4房2廳2衛,,無,無,住家用,,,
中正路６８０巷３１弄５號四樓,,105/10/25,780,23.1,33.77,91.43%,公寓(5樓含以下無電梯),34,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
華城二路６巷１１號,,105/10/25,2077,0,31.79,,透天厝,33,全/二層,房地(土地+建物),土:2 建:1車:0,5房3廳3衛,,有,無,住家用,單獨車位交易。;,,
北宜路二段８２－８號十樓,新店清境,105/10/25,370,24.2,15.29,83.36%,住宅大樓(11層含以上有電梯),22,十層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
達觀路１４巷３號１４樓之５,達觀鎮A2,105/10/24,385,21.6,17.85,69.36%,住宅大樓(11層含以上有電梯),20,十四層/十七層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
僑信路５６巷３４號,,105/10/24,1260,0,29.47,,透天厝,33,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳3衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
