"買賣案件:新北市新店區房地(土地+建物),建物,106 年 11 月 至106 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
錦秀路７２巷６號,,106/12/31,1350,0,80.01,,透天厝,31,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中央二街１２號３樓,尊榮皇家第六期華廈,106/12/31,1300,38.3,33.9,84.06%,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
寶橋路７８巷１１８號５樓,玉上園,106/12/31,1868,47.8,39.1,60.51%,住宅大樓(11層含以上有電梯),4,五層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,共有人數2人。含增建或未登記建物。含增建或未登記建物。;,,
永安街６６號三樓,,106/12/31,810,24.3,33.29,100.00%,公寓(5樓含以下無電梯),39,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
北宜路一段１６６號４樓,新城市新殿,106/12/31,750,41.8,17.94,70.71%,住宅大樓(11層含以上有電梯),20,四層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物含增建或未登記建物。;,,
新店路２６２之１２號十九樓,碧潭有約,106/12/30,980,65.3,15,61.48%,套房(1房(1廳)1衛),9,十九層/十九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
秀岡五街２９號,,106/12/30,3000,0,59.53,,透天厝,20,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,有,無,住家用,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄(含增建或未登記建物)。含增建或未登記建物。;,,
安德街１１６巷２６弄１０號３樓,浪漫山林,106/12/30,800,29.8,26.87,69.82%,華廈(10層含以下有電梯),24,三層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安忠路８４巷１０號,21City花園廣場三區,106/12/30,1050,32.3,32.49,64.79%,華廈(10層含以下有電梯),9,一層/六層,房地(土地+建物),土:3 建:1車:0,1房2廳2衛,,有,無,商業用,含增建或未登記建物含增建或未登記建物。;,,
安忠路５７巷２９號３樓,御林園,106/12/29,1025,34.5,29.74,60.92%,住宅大樓(11層含以上有電梯),1,三層/十二層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,無,住家用,,,
安民街１５６巷２８號二樓,博覽天下莫內,106/12/29,900,35.5,25.38,61.45%,住宅大樓(11層含以上有電梯),8,二層/十三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
寶興路６４巷２７號四樓,,106/12/29,270,8.5,31.93,83.35%,公寓(5樓含以下無電梯),39,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。 不動產買方2人共有。親友、員工或其他特殊關係間之交易。;,,
寶安街３８號二樓,,106/12/29,1200,42.1,28.52,100.00%,公寓(5樓含以下無電梯),39,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
達觀路１４巷３號十一樓,達觀鎮A2,106/12/29,590,16.8,35.19,68.28%,住宅大樓(11層含以上有電梯),21,十一層/十七層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央三街１２１巷１１號２５樓,希望之河,106/12/29,988,42.6,23.17,67.06%,住宅大樓(11層含以上有電梯),18,二十五層/二十七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
寶橋路２４０號三樓,,106/12/29,720,26.4,27.26,94.60%,公寓(5樓含以下無電梯),39,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,工業用,,,
安興路９５巷３７號,敦南花園,106/12/29,3900,0,119.06,,透天厝,5,全/三層,房地(土地+建物),土:2 建:2車:0,5房2廳6衛,,有,無,住家用,,,
寶橋路７２號４樓,群星會,106/12/29,220,11.8,18.7,13.62%,住宅大樓(11層含以上有電梯),15,四層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
寶橋路７２號４樓,群星會,106/12/29,220,11.8,18.7,13.62%,住宅大樓(11層含以上有電梯),15,四層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
國校路２０號五樓,,106/12/29,495,24.7,20.07,86.47%,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,親友關係之交易親友、員工或其他特殊關係間之交易。;,,
安祥路１１０巷５９號十三樓,綠野香坡,106/12/28,420,12.2,34.29,55.81%,住宅大樓(11層含以上有電梯),22,十三層/十七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
錦秀路５７巷５號二樓,,106/12/28,360,16.5,21.78,88.61%,公寓(5樓含以下無電梯),36,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
安光路３０號十樓,勝旺有境,106/12/28,1153,35.8,32.23,63.40%,住宅大樓(11層含以上有電梯),1,十層/二十一層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,建物第一次登記後移轉,,
錦秀路１１巷７５號,,106/12/28,906,0,81.87,,透天厝,28,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,有,無,住家用,,,
華城一路１巷１４號,,106/12/28,3466,0,87.1,,透天厝,23,全/二層,房地(土地+建物),土:2 建:1車:0,8房5廳6衛,,有,無,住家用,有增建含增建或未登記建物。;,,
安康路二段１４２巷２０號四樓,公崙華城,106/12/28,1100,19.8,55.63,55.44%,住宅大樓(11層含以上有電梯),12,四層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安德街１１６巷３２號五樓,台北舊金山捷運年代,106/12/28,586,28.8,20.38,82.52%,住宅大樓(11層含以上有電梯),23,五層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
安民街２１號６樓之２,及人吉第,106/12/27,408,33.3,12.26,61.49%,套房(1房(1廳)1衛),22,六層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
三民路７５巷９弄５號２樓,,106/12/27,1234,36.3,34.03,84.88%,公寓(5樓含以下無電梯),45,二層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安民街７５號６樓,山水畫樓C區,106/12/27,1030,31.5,32.68,77.36%,華廈(10層含以下有電梯),22,六層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
德正街２７巷２９弄７６號,,106/12/27,1650,56.1,29.39,100.00%,公寓(5樓含以下無電梯),40,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
大豐路４１巷１１號及１１號三樓,,106/12/27,1210,28.7,42.12,100.00%,公寓(5樓含以下無電梯),45,一層/四層,房地(土地+建物),土:1 建:2車:0,3房2廳1衛,,無,無,住家用,本不動產係屬近親(一親等)間之買賣行為. 本不動產交易兩建物現況格局均為3房2聽1衛.親友、員工或其他特殊關係間之交易。;,,
安忠路５７巷１９號四樓,御林園,106/12/26,688,36.5,18.84,61.92%,套房(1房(1廳)1衛),1,四層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,建物第一次登記後移轉,,
安民街３７９巷２８號　,,106/12/26,1088,29,37.56,83.67%,公寓(5樓含以下無電梯),27,"一層,夾層/五層",房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,有,無,住家用,,,
三民路１６５號二樓,,106/12/26,1100,35.9,30.61,94.17%,公寓(5樓含以下無電梯),39,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中正路３９４號二樓,,106/12/26,1000,33.2,30.16,100.00%,公寓(5樓含以下無電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,本不動產交易係屬近親(一親等)間之買賣行為.親友、員工或其他特殊關係間之交易。;,,
如意街８２號,北城大亨,106/12/25,1230,36.3,33.91,,店面（店舖),28,"一層,地下一層/五層",房地(土地+建物),土:1 建:1車:0,,,有,無,住商用,含增建或未登記建物。含增建或未登記建物。;,,
北宜路二段１０２巷１弄１號二樓,,106/12/25,240,8.2,29.3,81.99%,公寓(5樓含以下無電梯),31,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安民街３６５巷１弄９號二樓,,106/12/25,720,22.9,31.38,83.76%,公寓(5樓含以下無電梯),27,二層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,有,無,住家用,,,
寶慶街３９號９樓,雙興天廈,106/12/25,1100,48.6,22.65,80.77%,住宅大樓(11層含以上有電梯),22,九層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
三民路１５９巷１９弄３８號,,106/12/25,2000,0,41.8,,透天厝,45,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳3衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
百忍街９巷２號３樓,,106/12/25,950,35,27.13,86.51%,公寓(5樓含以下無電梯),46,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
