"買賣案件:新北市新店區房地(土地+建物),建物,109 年 1 月 至109 年 9 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
中央路１７９號十四樓之１,美河市住辦區,109/09/30,1425,59,24.15,59.91%,住宅大樓(11層含以上有電梯),8,十四層/二十八層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,有,住家用,,,
安祥路１０２巷１２６號,彩蝶,109/09/30,1164,0,64.02,,透天厝,24,全/三層,房地(土地+建物),土:8 建:1車:0,4房2廳3衛,,有,無,住家用,,,
建國路１６４－３號五樓,一品門第,109/09/29,1990,41.7,47.68,78.19%,華廈(10層含以下有電梯),32,五層/十層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;,,
永安街８３巷２號八樓,名揚四海,109/09/29,940,31.9,29.48,71.81%,住宅大樓(11層含以上有電梯),26,八層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;,,
安祥路７３巷１５號五樓,綠灣氧生區,109/09/29,690,25.4,27.15,66.51%,華廈(10層含以下有電梯),13,五層/八層,房地(土地+建物),土:3 建:1車:0,1房2廳1衛,,有,有,辦公用,其他增建;,,
北新路二段１２號三樓,,109/09/29,1480,35.4,41.8,91.07%,公寓(5樓含以下無電梯),33,"三層,夾層/五層",房地(土地+建物),土:2 建:1車:0,5房3廳4衛,,無,無,住家用,陽台外推;夾層;,,
安康路二段１２５號五樓,,109/09/28,750,21.7,34.61,97.13%,公寓(5樓含以下無電梯),35,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;,,
錦秀路５２巷２３號三樓,,109/09/28,345,18.7,18.41,85.87%,公寓(5樓含以下無電梯),39,三層/五層,房地(土地+建物),土:8 建:1車:0,2房1廳1衛,,有,無,住家用,,,
玫瑰路６６巷９號,,109/09/28,900,30,30.04,88.76%,公寓(5樓含以下無電梯),35,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,"含土地增值稅或其他稅費105,993元;其他增建;",,
長春路２９號,名人鄉村世界,109/09/27,950,0,34.55,,透天厝,39,全/二層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,有,無,住家用,陽台外推;頂樓加蓋;其他增建;,,
安祥路１０２巷３號七樓,彩蝶,109/09/27,445,21.5,20.73,74.07%,華廈(10層含以下有電梯),24,七層/九層,房地(土地+建物),土:8 建:1車:0,1房2廳1衛,,有,有,住家用,,,
北新路二段１２２號十四樓之十六,環遊市西華館,109/09/27,740,66.6,11.12,65.93%,住宅大樓(11層含以上有電梯),14,十四層/十八層,房地(土地+建物),土:8 建:1車:0,1房1廳1衛,,有,有,住家用,夾層;其他增建;,,
德正街２７巷２９弄７１號,,109/09/27,1500,67.8,22.12,100.00%,公寓(5樓含以下無電梯),42,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
安民街３２８巷７號四樓,,109/09/27,870,29,30.02,88.63%,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
安德街５７巷１１號四樓,新綠卡,109/09/27,892,33.4,26.71,73.99%,華廈(10層含以下有電梯),26,四層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,陽台外推;,,
中正路７００巷６２號九樓,大鵬華城,109/09/27,1708,35.1,48.62,51.13%,住宅大樓(11層含以上有電梯),21,九層/十六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;,,
建國路１６號十樓,,109/09/27,880,61.8,14.25,62.77%,住宅大樓(11層含以上有電梯),,十層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;,,
新店路２６２之５號九樓,碧潭有約,109/09/27,880,62.5,14.07,61.69%,住宅大樓(11層含以上有電梯),11,九層/十九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,,,
建國路１９５號三樓,,109/09/27,925,40.4,22.92,86.14%,公寓(5樓含以下無電梯),44,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中正路２１９號二樓,,109/09/26,1250,67,18.65,100.00%,公寓(5樓含以下無電梯),45,二層/四層,房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住商用,其他增建;,,
新和街５７號三樓,,109/09/26,1500,27.5,54.45,100.00%,公寓(5樓含以下無電梯),40,三層/五層,房地(土地+建物),土:1 建:1車:0,5房2廳2衛,,無,無,住家用,陽台外推;,,
安德街１３８號四樓,,109/09/26,788,24.7,31.86,88.19%,公寓(5樓含以下無電梯),34,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;,,
博愛街２７巷２３號二樓,,109/09/26,650,41.9,15.5,100.00%,公寓(5樓含以下無電梯),39,"二層,陽台/五層",房地(土地+建物),土:1 建:1車:0,6房0廳5衛,,無,無,住家用,其他增建;,,
中興路一段２８９號八樓之二,中興金典,109/09/26,1080,50,21.59,86.94%,住宅大樓(11層含以上有電梯),27,八層/十二層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
花園十路一段５－４０１號,,109/09/26,612,26.1,23.46,100.00%,公寓(5樓含以下無電梯),40,三層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,"含土地增值稅或其他稅費61,396元;含仲介費183,600元;含地政士服務費3,500元;",,
永平街３７巷１２號五樓,歐堡名門,109/09/26,637,36.4,17.49,71.70%,華廈(10層含以下有電梯),25,五層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,,,
安祥路１１０巷１９號十一樓,新鎮社區,109/09/26,575,15.8,36.36,84.42%,住宅大樓(11層含以上有電梯),25,十一層/十八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,,
北新路三段６５巷１２弄７號,,109/09/25,1730,65,26.64,100.00%,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),土:3 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建;,,
中興路二段２５號四樓之一,溫哥華,109/09/25,1660,40.2,41.24,75.46%,住宅大樓(11層含以上有電梯),32,四層/十二層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;,,
新坡一街１８巷４弄１３號三樓,,109/09/25,888,16.7,53.32,69.62%,公寓(5樓含以下無電梯),29,"三層,四層,五層/五層",房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,有,無,住家用,陽台外推;,,
安祥路１０６巷２６６號三樓,伴吾別墅,109/09/25,450,18.3,24.58,76.00%,公寓(5樓含以下無電梯),22,三層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,,,
環河路１９巷７弄６號五樓,,109/09/25,1050,32,32.86,91.42%,公寓(5樓含以下無電梯),36,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;,,
永安街６３巷１１號二樓,,109/09/25,730,30.1,24.27,90.24%,公寓(5樓含以下無電梯),35,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
裕合街１０３號,,109/09/24,750,0,29.91,,透天厝,39,全/二層,房地(土地+建物),土:2 建:1車:0,4房2廳3衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;,,
光明街２２４巷２０弄３號四樓,,109/09/24,1070,33,32.42,83.54%,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
民族路６３號十二樓,台北新殿,109/09/24,1630,48.5,33.58,90.92%,住宅大樓(11層含以上有電梯),27,十二層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,,
復興路４４號十四樓,景美美景,109/09/24,385,44.6,8.64,66.00%,住宅大樓(11層含以上有電梯),25,十四層/十四層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,有,住家用,其他增建;,,
寶高路１２０巷６弄１號四樓,,109/09/24,885,26.5,33.36,88.84%,公寓(5樓含以下無電梯),36,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
復興路４２巷２號九樓,景美美景,109/09/23,850,45,18.88,58.86%,住宅大樓(11層含以上有電梯),25,九層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,含租約;,,
中正路１７號,,109/09/23,1580,47.6,33.17,83.45%,公寓(5樓含以下無電梯),47,一層/四層,房地(土地+建物),土:2 建:1車:0,7房1廳6衛,,無,無,住家用,,,
中興路二段２４５號九樓,璞御,109/09/23,1717,66.1,25.97,57.68%,住宅大樓(11層含以上有電梯),1,九層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,,,
安泰路６０巷１３４弄４２之１號,,109/09/23,805,0,30.98,,透天厝,39,全/二層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,其他增建;,,
明德路１０３號三樓,,109/09/23,1428,43.3,32.98,89.88%,公寓(5樓含以下無電梯),35,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
北宜路二段１７巷９號五樓,,109/09/23,760,26.6,28.6,87.71%,公寓(5樓含以下無電梯),35,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;,,
華城二路２巷２弄１０號,,109/09/23,2150,0,53.23,,透天厝,31,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,有,無,住家用,其他增建:花園玻璃屋、平台增建。陽台外推;其他增建;,,
安祥路１１０巷２７號二樓,新鎮社區,109/09/22,620,17.3,35.77,84.23%,住宅大樓(11層含以上有電梯),25,二層/十八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;,,
中興路二段２５５號四樓,璞御,109/09/22,1680,63.3,26.53,57.90%,住宅大樓(11層含以上有電梯),1,四層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,,,
安和路三段５２號,銀河歐鄉,109/09/22,1400,64.8,21.6,92.63%,住宅大樓(11層含以上有電梯),24,"一層,騎樓/十二層",房地(土地+建物),土:1 建:1車:0,,,有,有,商業用,,,
達觀路４１號五樓之七,達觀鎮B6區,109/09/22,460,23.2,19.8,72.49%,住宅大樓(11層含以上有電梯),22,五層/二十層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,,
文化路２３之７號二樓,高峰會,109/09/22,858,64.3,13.35,63.98%,住宅大樓(11層含以上有電梯),11,二層/十五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,,,
溪園路３８９之９號十四樓,湯泉美地,109/09/22,890,52.9,16.81,71.17%,住宅大樓(11層含以上有電梯),17,十四層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,,,
北新路二段９２巷２弄２號三樓,,109/09/22,970,38.1,25.46,100.00%,公寓(5樓含以下無電梯),46,三層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
北新路三段１２０號八樓之２,樺福大坪林,109/09/21,2080,67.5,30.82,65.30%,住宅大樓(11層含以上有電梯),5,八層/十三層,房地(土地+建物),土:4 建:1車:0,2房2廳2衛,,有,有,住家用,,,
中興路三段２３５號五樓之一,捷運新公館,109/09/21,1375,59.3,23.2,76.18%,住宅大樓(11層含以上有電梯),24,五層/二十四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,,,
中央路１５５號二十三樓之９,美河市住辦區,109/09/21,1988,48.2,41.25,60.79%,住宅大樓(11層含以上有電梯),8,二十三層/二十九層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,有,辦公用,,,
中央路１６５號十五樓之１,美河市住辦區,109/09/21,1445,59.7,24.2,59.79%,住宅大樓(11層含以上有電梯),8,十五層/二十六層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,有,住家用,,,
頂城五街５５巷８弄３號,,109/09/21,4100,0,76.98,,透天厝,9,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,有,無,住家用,"含土地增值稅或其他稅費1,332,563元;毛胚屋;",,
達觀路８巷３號十一樓,達觀鎮A1,109/09/21,460,14.5,31.81,69.42%,住宅大樓(11層含以上有電梯),24,十一層/十九層,房地(土地+建物),土:5 建:1車:0,3房2廳2衛,,有,有,住家用,,,
北新路二段１２６號十八樓之五,環遊市西華館,109/09/20,765,68.7,11.13,65.97%,住宅大樓(11層含以上有電梯),14,十八層/十八層,房地(土地+建物),土:8 建:1車:0,,,有,有,住家用,夾層;,,
中正路４１８巷２２號四樓,,109/09/20,1512,46.7,32.4,79.00%,華廈(10層含以下有電梯),28,四層/六層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,陽台外推;其他增建;,,
中興路二段２０１號五樓之六,寶路生活館,109/09/20,612,55.8,10.97,63.41%,住宅大樓(11層含以上有電梯),19,五層/十七層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,有,住家用,陽台外推;,,
自立街８２號三樓,,109/09/20,1388,41.5,33.46,90.15%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;,,
永平街１６巷３２號三樓,薪世界,109/09/20,880,32.5,27.09,70.51%,住宅大樓(11層含以上有電梯),22,三層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,,
文化路８０巷１２號五樓,,109/09/20,1330,40.9,32.54,93.92%,公寓(5樓含以下無電梯),39,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;,,
中正路１６６號三樓,,109/09/19,1250,42.3,29.56,100.00%,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;,,
北新路三段１２２號三樓之２,樺福大坪林,109/09/19,910,65.4,13.92,63.21%,住宅大樓(11層含以上有電梯),,三層/十三層,房地(土地+建物),土:4 建:1車:0,1房1廳1衛,,有,有,住家用,其他增建;,,
大新街７巷３４號四樓,,109/09/19,1500,48.1,31.21,76.19%,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),土:8 建:1車:0,4房0廳4衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;,,
合作路３號九樓,上碧潭,109/09/19,1050,46.4,22.62,61.95%,住宅大樓(11層含以上有電梯),5,九層/十二層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,,,
