"買賣案件:新北市新店區房地(土地+建物),建物,105 年 11 月 至105 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
達觀路１６號二樓之五,達觀鎮A4達觀168,105/12/31,350,19.4,18.01,68.72%,住宅大樓(11層含以上有電梯),21,二層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,有增建含增建或未登記建物。;,,
北宜路二段３５５-２號２樓,春風特區,105/12/31,808,26.4,30.55,60.74%,住宅大樓(11層含以上有電梯),15,二層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。共有人數2人。含增建或未登記建物。;,,
大豐路７６號６樓,一品門第,105/12/31,1730,40.5,42.73,76.95%,華廈(10層含以下有電梯),29,六層/十層,房地(土地+建物),土:2 建:1車:0,2房2廳3衛,,有,無,住家用,,,
永安街８９號,名揚四海,105/12/31,1468,53.4,27.52,,店面（店舖),23,"一層,騎樓/十二層",房地(土地+建物),土:1 建:1車:0,0房1廳0衛,,有,無,商業用,含增建或未登記建物。含增建或未登記建物。;,,
永業路９１號,,105/12/31,1140,33.9,33.59,77.65%,公寓(5樓含以下無電梯),34,一層/五層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,住家用,,,
北宜路一段１０７之６號１０樓,新店市文中里捷運首席,105/12/31,1320,36.1,36.52,69.78%,住宅大樓(11層含以上有電梯),19,十層/十三層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中興路二段３７號十一樓,巴黎皇宮,105/12/30,1931.4,26.2,73.71,42.57%,住宅大樓(11層含以上有電梯),,十一層/二十四層,建物,土:0 建:1車:2,4房2廳2衛,,有,無,住家用,此戶為合建分屋之地主 自有土地換得之建物 此戶含車位二位平面車位 土房互易價為17751930 土房坪差找補1562400建商與地主合建案。;單獨車位交易。;,,
中興路二段３９號五樓,巴黎皇宮,105/12/30,1900.9,29.3,64.81,48.22%,住宅大樓(11層含以上有電梯),,五層/二十四層,建物,土:0 建:1車:1,3房2廳2衛,,有,無,住家用,此戶為合建分屋之地主 自有土地換得之建物 含車位一位平面車位 土房互易價為16553460 土房坪差補2455808建商與地主合建案。;單獨車位交易。;,,
中興路二段３９號八樓,巴黎皇宮,105/12/30,1886.6,29.1,64.81,48.22%,住宅大樓(11層含以上有電梯),,八層/二十四層,建物,土:0 建:1車:1,3房2廳2衛,,有,無,住家用,此戶為合建分屋之地主 自有土地換得之建物 此戶含車位1位平面車位 土房互易價為17215598 土房坪差補1650600建商與地主合建案。;單獨車位交易。;,,
