"買賣案件:新北市新店區房地(土地+建物),建物,108 年 10 月 至108 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
達觀路８巷５號十樓之七,達觀鎮A1,108/12/31,400,17.1,23.34,71.12%,住宅大樓(11層含以上有電梯),24,十層/十八層,房地(土地+建物),土:5 建:1車:0,1房2廳1衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。;,,
順安街２號七樓之９,,108/12/31,788,52.4,15.04,63.57%,華廈(10層含以下有電梯),19,七層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,,,
光華街３８巷１６號１．２樓,,108/12/31,2736,0,49.37,,透天厝,41,全/二層,房地(土地+建物),土:1 建:1車:0,6房3廳3衛,,無,無,住家用,含增建或未登記建物。,,
安康路二段１００巷１號七樓之２,好康居,108/12/31,1010,36.3,27.85,58.43%,住宅大樓(11層含以上有電梯),,七層/十五層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,有,住家用,建物款： 4242000元 土地款： 5858000元預售屋、或土地及建物分件登記案件;,,
文化路１２２號三樓,雙捷WIN,108/12/30,1140.6,53,21.52,53.63%,住宅大樓(11層含以上有電梯),1,三層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
碧潭路７７巷１號十四樓之二,海悅假期,108/12/30,916,36.6,25.06,65.08%,住宅大樓(11層含以上有電梯),20,十四層/十八層,房地(土地+建物),土:6 建:1車:0,1房2廳2衛,,有,無,商業用,含增建或未登記建物。;,,
北新路一段７９號２５樓之３,雙水灣,108/12/30,1555,67.7,22.98,56.42%,住宅大樓(11層含以上有電梯),,二十五層/三十層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
復興路４４之５號十二樓,景美美景,108/12/30,1488,47.4,31.39,59.42%,住宅大樓(11層含以上有電梯),24,十二層/十四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,有,無,住家用,,,
安泰路６０巷４７號,,108/12/30,760,0,27.21,,透天厝,39,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,,,
安祥路１１０巷３１號七樓之一,祥和社區,108/12/30,360,15.2,23.69,83.31%,住宅大樓(11層含以上有電梯),24,七層/十七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
民族路１８７號,,108/12/30,1088,38.6,28.16,100.00%,公寓(5樓含以下無電梯),,"一層,二層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,,,無,無,住商用,親友、員工或其他特殊關係間之交易。;,,
二十張路１０５巷７號３樓,,108/12/30,950,40.4,23.5,100.00%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。兩人共有,,
三民路６０巷１９號３樓,,108/12/30,990,38.6,25.68,100.00%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
