"買賣案件:新北市新店區房地(土地+建物),建物,108 年 1 月 至108 年 9 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
建安街３３巷１３號７樓,容石園,108/09/30,1560,48,32.52,92.46%,華廈(10層含以下有電梯),41,七層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,含增建或未登記建物。;,,
安興路８７號,,108/09/29,2050,0,54.38,,透天厝,37,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住工用,一樓為開放空間，另含房屋直下方地下一層使用。含增建或未登記建物。;,,
北宜路一段１４０巷２之１號５樓,,108/09/29,725,29.2,24.85,77.58%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,買方另外負擔25萬元稅捐,,
安泰路６０巷１３４弄４８號,,108/09/28,750,0,30.3,,透天厝,38,全/二層,房地(土地+建物),土:1 建:1車:0,5房3廳2衛,,有,無,住家用,含增建或未登記建物。;,,
安康路二段２４２巷８號二樓,,108/09/28,910,29,31.33,84.38%,公寓(5樓含以下無電梯),33,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
大同街３１號３樓,,108/09/28,1280,36.4,35.21,100.00%,公寓(5樓含以下無電梯),,"三層,騎樓/四層",房地(土地+建物),土:4 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。,,
平等街４８巷８號二樓,,108/09/27,950,35.4,26.82,100.00%,公寓(5樓含以下無電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,私契立約日期民國108年9月20日急買急賣。;,,
順安街３２號,,108/09/27,2200,77.6,28.34,,店面（店舖),42,"一層,騎樓/五層",房地(土地+建物),土:2 建:1車:0,0房1廳1衛,,無,無,住家用,含增建或未登記建物。;,,
北宜路二段４２１巷２弄７１號二樓,美麗國,108/09/27,1032,24,43.02,58.66%,華廈(10層含以下有電梯),6,二層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
新生街４５號四樓,,108/09/27,1080,32.4,33.28,87.04%,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,,,
北新路三段１２２號六樓之３,樺福大坪林,108/09/26,1450,67.1,21.6,57.10%,住宅大樓(11層含以上有電梯),4,六層/十三層,房地(土地+建物),土:4 建:1車:0,2房1廳1衛,,有,無,住家用,,,
安光路３１號１８樓,合陽天擎,108/09/26,1140,37.7,30.28,58.65%,住宅大樓(11層含以上有電梯),1,十八層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
建國路５０巷２號４樓,,108/09/26,1225,42.7,28.69,89.07%,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
安祥路１１０巷３０弄１３號,綠野鴻福大F,108/09/26,600,20.8,28.83,84.72%,住宅大樓(11層含以上有電梯),24,一層/十六層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,,,
華城三路１巷５號,,108/09/26,5700,0,125.9,,透天厝,6,全/三層,房地(土地+建物),土:2 建:1車:0,6房3廳4衛,,有,無,住家用,,,
