"買賣案件:新北市新店區房地(土地+建物),建物,107 年 11 月 至107 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
檳榔路１９巷３７號五樓,,107/12/31,970,29.8,32.53,80.51%,公寓(5樓含以下無電梯),31,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
大榮路７０號,,107/12/31,3636,0,74.54,,透天厝,27,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,有,無,住家用,有增建,,
復興路４４號１１樓之３,景美美景,107/12/31,740,43.3,17.1,56.95%,住宅大樓(11層含以上有電梯),23,十一層/十四層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。;,,
安忠路８７號,,107/12/31,610,25.4,23.99,,店面（店舖),37,"一層,騎樓/五層",房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住商用,含增建或未登記建物。;,,
華中街４７巷５號３樓,,107/12/31,1500,41.8,35.88,86.69%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:4 建:1車:0,4房2廳1衛,,無,無,住家用,含增建或未登記建物。;,,
中正路７６巷１１弄１２號４樓,,107/12/31,1220,36.9,33.02,86.62%,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
五?路７０巷３號３樓,,107/12/31,1030,35.7,28.84,85.07%,公寓(5樓含以下無電梯),40,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。,,
安民街１２１巷１８號１４樓之４,美麗心殿,107/12/31,905,31.6,28.61,65.81%,住宅大樓(11層含以上有電梯),23,十四層/十六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
達觀路１４巷６號十四樓之五,達觀鎮A2,107/12/30,315,17.6,17.85,69.36%,住宅大樓(11層含以上有電梯),22,十四層/十七層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安康路二段１５９巷２１號十三樓,鮮境,107/12/30,765,34,22.53,68.69%,住宅大樓(11層含以上有電梯),17,十三層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
大同街８巷５號,,107/12/30,560,32.8,17.09,100.00%,公寓(5樓含以下無電梯),40,一層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
安祥路１１０巷１４號７樓,新鎮社區,107/12/29,510,16.2,31.51,83.47%,住宅大樓(11層含以上有電梯),23,"七層,電梯樓梯間/十六層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
秀岡五街２巷５號,,107/12/29,3058,0,52.98,,透天厝,21,全/二層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,有,無,住家用,,,
大新街７巷１９號６樓之１,御藏,107/12/29,1338,51.1,26.17,53.01%,華廈(10層含以下有電梯),5,六層/九層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
安成街２巷１號５樓之１０,風華,107/12/29,720,35.8,20.1,61.04%,住宅大樓(11層含以上有電梯),4,五層/十五層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,無,住家用,含增建或未登記建物。;,,
寶橋路７８巷６０號十樓,玉上園,107/12/29,1020,53.5,19.06,60.67%,住宅大樓(11層含以上有電梯),5,十層/二十七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。;,,
北宜路一段１８之１號７樓,碧潭有約,107/12/29,1806,61,29.62,66.52%,住宅大樓(11層含以上有電梯),10,七層/二十七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
錦秀路４９巷４號２樓,,107/12/28,360,16.5,21.78,88.61%,公寓(5樓含以下無電梯),37,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
北新路二段１２８號十四樓之二十一,環遊市西華館,107/12/28,950,58.2,16.33,66.01%,套房(1房(1廳)1衛),12,十四層/十八層,房地(土地+建物),土:8 建:1車:0,1房1廳1衛,,有,無,住家用,,,
光明街１０２巷７弄１５號三樓,,107/12/28,968,36.4,26.57,87.61%,公寓(5樓含以下無電梯),48,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
永業路８１巷５弄２號二樓,,107/12/28,500,15.2,32.9,100.00%,公寓(5樓含以下無電梯),38,"二層,陽台/五層",房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
明山路２巷２號９樓,明山儷園,107/12/28,485,22.6,21.42,78.42%,華廈(10層含以下有電梯),21,九層/十層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
吉祥街３巷２３號,,107/12/28,1263,0,52.17,,透天厝,30,全/三層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,有,無,住家用,含增建或未登記建物。,,
國校路２０之１號３樓,,107/12/27,648,29.7,21.81,93.66%,公寓(5樓含以下無電梯),35,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
光華街１０號四樓,元寶双囍,107/12/27,1415,35.5,39.9,60.82%,住宅大樓(11層含以上有電梯),1,四層/十四層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中央路３０號十二樓,全陽大璽,107/12/27,1330,56.7,23.44,57.02%,住宅大樓(11層含以上有電梯),,十二層/二十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;,,
