"買賣案件:臺北市文山區房地(土地+建物),建物,104 年 1 月 至104 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
興隆路三段１８５巷１１弄１號３樓,,104/12/24,995,28,35.5,67.57%,公寓(5樓含以下無電梯),32,三層/五層,房地(土地+建物),土:7 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
萬美街二段８４號四樓之３,靈糧山莊,104/12/24,1215,46.8,25.95,67.70%,華廈(10層含以下有電梯),18,四層/十層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用,,,
羅斯福路六段１２０號四樓,,104/12/23,1200,46.2,25.99,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:2 建:1車:0,4房2廳1衛,,無,無,住家用,,,
興隆路二段９５巷１１號五樓,,104/12/23,772,18.4,41.99,82.29%,公寓(5樓含以下無電梯),28,五層/五層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
保儀路２６巷９之１號,,104/12/23,1475,43.7,33.75,86.49%,公寓(5樓含以下無電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,其他,,,
忠順街一段９巷１４號四樓,,104/12/22,862,17.7,48.64,76.37%,公寓(5樓含以下無電梯),34,四層/五層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,二等親買賣,,
景美街３巷１號,,104/12/22,4100,0,75.16,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,,,
試院路１５４巷１弄２號地下室,,104/12/22,1050,34,30.88,95.83%,公寓(5樓含以下無電梯),35,地下層/四層,房地(土地+建物),土:5 建:1車:0,3房2廳2衛,,無,無,住家用,,,
羅斯福路五段２３６巷１弄４號,,104/12/22,1200,40.6,29.58,100.00%,公寓(5樓含以下無電梯),,"一層,平台/四層",房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,此案為二親等買賣親友、員工或其他特殊關係間之交易。;,,
羅斯福路五段２１２巷４號,,104/12/22,1950,60,32.5,100.00%,公寓(5樓含以下無電梯),,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
萬盛街１４６巷１５號５樓,,104/12/21,1500,60.9,24.62,31.19%,華廈(10層含以下有電梯),3,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景興路９６巷１８號四樓,,104/12/21,825.9,24.5,33.74,100.00%,公寓(5樓含以下無電梯),44,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路四段１３０巷３號七樓之４,捷運大地,104/12/21,850,48.9,17.4,65.45%,套房(1房(1廳)1衛),20,七層/八層,房地(土地+建物),土:1 建:1車:0,,,有,無,住家用,,,
興隆路二段１５３巷４弄８號,,104/12/21,900,25.4,35.41,100.00%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:1 建:1車:0,4房1廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
景豐街４８巷１號,靜心心靜,104/12/21,2350,42.2,55.7,30.91%,華廈(10層含以下有電梯),21,一層/九層,房地(土地+建物),土:1 建:1車:0,0房2廳2衛,,有,無,商業用,,,
指南路三段２６號５樓之３,政大威秀,104/12/20,1220,41.5,29.37,61.23%,華廈(10層含以下有電梯),8,五層/十層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
忠順街一段２６巷１３弄１９號三樓,,104/12/20,1229.8,40,30.75,88.51%,公寓(5樓含以下無電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
福興路８２巷５弄１２號２樓,,104/12/20,805,33.3,24.18,87.84%,公寓(5樓含以下無電梯),32,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景興路３００號６樓,天際,104/12/20,1360,60,22.68,53.27%,住宅大樓(11層含以上有電梯),,六層/二十七層,房地(土地+建物),土:3 建:1車:0,,,無,無,住家用,,,
一壽街３巷２號３樓,,104/12/20,1150,48.2,23.88,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:3 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路二段２３３巷５弄２號四樓之１,台大新新聞,104/12/19,680,55.6,12.22,59.54%,套房(1房(1廳)1衛),18,四層/六層,房地(土地+建物),土:0 建:1車:0,1房0廳1衛,,有,無,住家用,,,
景文街１７９號六樓,美輪,104/12/18,1127,39.8,28.31,82.48%,華廈(10層含以下有電梯),33,六層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,住家用,,,
景文街１７９號五樓,美輪,104/12/18,1100,38.9,28.31,82.48%,華廈(10層含以下有電梯),33,五層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,無,其他,,,
興隆路三段２０７巷１７弄２號,,104/12/18,1650,39.1,42.18,41.49%,公寓(5樓含以下無電梯),34,一層/五層,房地(土地+建物),土:2 建:1車:0,5房2廳4衛,,無,無,住家用,,,
萬安街１２巷４號６樓之３,台北市萬安,104/12/18,1000,51.3,19.49,65.36%,華廈(10層含以下有電梯),32,六層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
樟新街５６巷１７號,正翔華廈,104/12/18,2525,37.6,67.24,38.76%,華廈(10層含以下有電梯),25,一層/九層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
下崙路２７之４號五樓,,104/12/16,829.5,20.2,41.09,70.73%,公寓(5樓含以下無電梯),28,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
景華街１２１巷１７弄５號２樓,,104/12/16,420,33.3,12.62,100.00%,公寓(5樓含以下無電梯),40,"二層,陽台/四層",房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,無,無,住家用,受債權債務影響受債權債務影響或債務抵償之交易。;,,
景華街７號６樓,,104/12/16,2100,54.9,38.25,72.39%,華廈(10層含以下有電梯),32,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
景興路１５３巷１４弄６號２樓,景美花園新廈住戶,104/12/15,598,25.2,23.74,86.61%,公寓(5樓含以下無電梯),33,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,二親等間之交易。親友、員工或其他特殊關係間之交易。;,,
新光路一段５號,,104/12/15,1920,0,16.87,,透天厝,49,全/三層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路三段２２９巷６弄１０號４樓,,104/12/15,810,29.5,27.43,83.18%,公寓(5樓含以下無電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
景華街４１號四樓,,104/12/15,2118,51.5,41.09,74.89%,華廈(10層含以下有電梯),32,四層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,,,
景興路３００號３樓之１,天際,104/12/15,1060,53.4,19.83,54.42%,住宅大樓(11層含以上有電梯),,三層/二十七層,房地(土地+建物),土:3 建:1車:0,,,無,無,住家用,,,
景興路３００號４樓,天際,104/12/15,1250,55.1,22.68,53.27%,住宅大樓(11層含以上有電梯),,四層/二十七層,房地(土地+建物),土:3 建:1車:0,,,無,無,住家用,,,
興隆路３段２２１巷６弄１０號５樓,家家,104/12/15,700,26.1,26.86,85.38%,公寓(5樓含以下無電梯),35,五層/五層,房地(土地+建物),土:3 建:1車:0,3房1廳1衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。 含增建或未登記建物。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
羅斯福路六段２７６巷１７號二樓,,104/12/14,300,24.7,12.16,100.00%,公寓(5樓含以下無電梯),,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,二親等買賣親友、員工或其他特殊關係間之交易。;,,
久康街６０巷１號三樓,,104/12/14,1323.2,40,33.08,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:3 建:1車:0,3房1廳1衛,,無,無,住家用,,,
興隆路三段２０７巷１７弄１１號３樓,,104/12/14,1050,25.5,41.17,69.61%,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路三段１８５巷１５弄８號４樓,,104/12/14,830,29.3,28.35,66.49%,公寓(5樓含以下無電梯),32,四層/五層,房地(土地+建物),土:7 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
木新路三段２０８號四樓,,104/12/14,1067.4,32.6,32.76,100.00%,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,1.二親等特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路四段２１巷５８號五樓,,104/12/14,1600,28,57.12,80.42%,公寓(5樓含以下無電梯),29,五層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,,,
和興路５２巷７弄２號３樓之７,,104/12/14,300,27.4,10.97,72.09%,套房(1房(1廳)1衛),19,三層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,董事與公司間之交易,,
興隆路三段２０７巷７弄７號二樓,,104/12/13,960,33.1,29.04,74.61%,公寓(5樓含以下無電梯),34,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
羅斯福路六段１５９巷１弄１６號１２樓之１,美麗殿,104/12/13,888,57.6,15.42,71.06%,套房(1房(1廳)1衛),22,十二層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
萬芳路２２號９樓之１,萬芳Villa,104/12/12,1140,49.4,23.07,61.38%,住宅大樓(11層含以上有電梯),11,九層/十二層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,無,住家用,共有人數2人。含增建或未登記建物。含增建或未登記建物。;,,
景後街９５號５樓之６,吉生廣場,104/12/12,725,57.8,12.55,62.08%,套房(1房(1廳)1衛),21,五層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,其他,含增建或未登記建物。含增建或未登記建物。;,,
興隆路四段１４５巷７９號,三普清境,104/12/12,995.2,21.7,45.81,83.44%,公寓(5樓含以下無電梯),27,"一層,二層,夾層/五層",房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,商業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
萬盛街６０巷３號,,104/12/11,1280,73.8,17.35,100.00%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,,,
興隆路二段２０３巷１３號三樓,,104/12/11,1368,46,29.76,87.94%,公寓(5樓含以下無電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用,,,
忠順街一段２６巷２７弄１１號四樓,,104/12/11,384,14,27.38,93.28%,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
忠順街一段２６巷２７弄１０號四樓,,104/12/11,597.4,21.3,28.03,100.00%,公寓(5樓含以下無電梯),,"四層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
興隆路２段９５巷５之３號地下,,104/12/10,675,14.6,46.21,80.73%,華廈(10層含以下有電梯),25,地下層/八層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,商業用,,,
集英街６號,,104/12/10,2000,0,43.09,,透天厝,,全/三層,建物,土:0 建:1車:0,2房1廳3衛,,無,無,住家用,一樓無隔間；交易標的種類含地上權,,
指南路三段９３號七樓,富春四季,104/12/10,973,52.3,18.59,55.31%,套房(1房(1廳)1衛),2,七層/十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;,,
興隆路三段６９號１０樓之７,旺角,104/12/10,700,60.9,11.49,68.61%,套房(1房(1廳)1衛),19,"十層,電梯樓梯間/十一層",房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
木柵路１段２８８巷４號,,104/12/10,6286.3,0,36.36,,透天厝,,全/二層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,商業用,,,
仙岩路１６巷５７弄３號四樓,,104/12/10,1200,39.2,30.61,86.17%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:3 建:1車:0,4房2廳2衛,,無,無,住家用,含頂樓增建含增建或未登記建物。;,,
木柵路１段２８８巷５號,,104/12/10,2451,0,22.71,,透天厝,52,全/二層,房地(土地+建物),土:1 建:1車:0,4房1廳1衛,,無,無,住家用,,,
木新路三段４１５號二樓,,104/12/10,378.9,39,9.71,90.81%,公寓(5樓含以下無電梯),50,二層/三層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,無,無,商業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
