"買賣案件:臺北市文山區房地(土地+建物),建物,106 年 1 月 至106 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
興隆路二段３０１巷１１弄２號三樓,,106/12/31,280,43,6.52,99.95%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,"本案係屬二親等特殊關係間之交易,其交易價格異於市場正常交易價格。親友、員工或其他特殊關係間之交易。;",,
景華街１６９巷１４號四樓,,106/12/31,1060,39.2,27.02,100.00%,公寓(5樓含以下無電梯),,"四層,陽台/四層",房地(土地+建物),土:3 建:1車:0,3房1廳1衛,,無,無,住家用,,,
興隆路二段２２６巷１號三樓,敦南樂高,106/12/31,2080,50.5,41.19,80.90%,華廈(10層含以下有電梯),31,三層/九層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,共有人數2人。內含獨立產權公設，未包含在棟數內。含增建或未登記建物。;,,
興隆路二段２０３巷５２號,,106/12/31,1317,59.1,22.27,,店面（店舖),19,一層/十二層,房地(土地+建物),土:1 建:1車:0,0房2廳1衛,,有,無,商業用,,,
興隆路３段１１２巷２弄２５號,,106/12/30,2450,104.5,23.46,,店面（店舖),38,一層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,,,
久康街１５７之２號四樓,,106/12/30,2125,45.6,46.55,82.97%,華廈(10層含以下有電梯),35,四層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,,,
景豐街１７號３樓,,106/12/30,1370,48.4,28.33,58.28%,華廈(10層含以下有電梯),20,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,含增建或未登記建物。五層有電梯。含增建或未登記建物。;,,
辛亥路七段６９巷２３號７樓,一品居,106/12/30,1988,37.9,52.41,75.92%,華廈(10層含以下有電梯),,七層/七層,房地(土地+建物),土:2 建:1車:0,7房3廳3衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
試院路２４號,,106/12/29,2400,74.7,32.14,82.79%,公寓(5樓含以下無電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,6房1廳5衛,,無,無,住家用,,,
萬安街２２巷１３弄１２號五樓,萬芳,106/12/29,1150,31.8,36.21,71.92%,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路四段１７０號四樓,,106/12/29,700,29.6,23.62,100.00%,公寓(5樓含以下無電梯),,"四層,陽台/四層",房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景興路１８８號１５樓之３,巨星廣場大廈住商,106/12/29,520,37.9,13.71,44.79%,套房(1房(1廳)1衛),22,十五層/二十四層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
萬盛街８９之１號三樓,台大羅斯福,106/12/28,1336,72.7,18.39,54.29%,華廈(10層含以下有電梯),1,三層/八層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,無,住家用,,,
興隆路２段２２６巷５號６樓,敦南樂高,106/12/28,2050,45.2,45.32,81.02%,華廈(10層含以下有電梯),31,六層/九層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,商業用,親友、員工或其他特殊關係間之交易。 含增建或未登記建物。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
景美街９１號,,106/12/27,300,0,1.59,,透天厝,,全/二層,房地(土地+建物),土:2 建:1車:0,,,無,無,商業用,本次不動產交易之買賣契約書係由買賣雙方自行簽訂後交付地政士依買賣契約書內容申報。 買受人為二人。 含增建或未登記建物。含增建或未登記建物。;,,
興隆路三段１８５巷１１弄１８號三樓,,106/12/27,700,28,25.03,74.07%,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),土:7 建:1車:0,3房2廳2衛,,無,無,住家用,,,
羅斯福路六段１４２巷２０弄１６號十三樓之１,力霸南京一期,106/12/26,950,54.7,17.38,56.96%,住宅大樓(11層含以上有電梯),23,十三層/十四層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路一段５５巷２７弄４０號四樓,明安,106/12/25,322,15.2,21.17,84.91%,華廈(10層含以下有電梯),40,四層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
仙岩路２２巷１３號九樓,,106/12/25,1480,42.9,34.53,61.87%,住宅大樓(11層含以上有電梯),23,九層/十八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
汀州路４段２４７號６樓,隆德天下A區,106/12/25,2521,46.6,54.05,53.42%,住宅大樓(11層含以上有電梯),7,六層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉 向政府機關承購之案件。車位每年抽，沒有固定車位。有使用權，沒有所有權。向政府機關承購之案件。;單獨車位交易。;,,
羅斯福路５段１７６巷２８號,,106/12/25,1000,21,47.61,66.10%,公寓(5樓含以下無電梯),38,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。 權利人共2人親友、員工或其他特殊關係間之交易。;,,
羅斯福路六段１４２巷２０弄１４號十二樓之１,力霸南京一期,106/12/24,1330,62.5,21.28,67.04%,住宅大樓(11層含以上有電梯),23,十二層/十四層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,無,住家用,陽台外推含增建或未登記建物。;,,
景華街１２８巷８４號５樓,,106/12/24,1000,31.5,31.75,84.57%,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,共有人數2人。含增建或未登記建物。內含獨立產權公設，未包含在棟數內。含增建或未登記建物。;,,
育英街２巷１弄１０號,,106/12/24,1626,58.4,27.83,100.00%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興德路６４巷２０號３樓,玫瑰城,106/12/23,838,44.5,18.84,83.71%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用,,,
木新路三段４６號四樓之２,,106/12/23,1500,40.2,37.34,76.30%,華廈(10層含以下有電梯),34,四層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
萬壽路６２之７號二樓,政大資優生,106/12/22,680,41.7,16.32,50.87%,華廈(10層含以下有電梯),10,二層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
木柵路二段１０９巷２５弄３１號４樓,,106/12/22,998,35.7,27.96,87.09%,公寓(5樓含以下無電梯),35,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
忠順街二段４９號,,106/12/22,2080,55.3,37.59,69.11%,華廈(10層含以下有電梯),33,一層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,商業用,,,
興隆路四段１４５巷３２號３樓,,106/12/22,1000,32.4,30.87,87.51%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
辛亥路七段７６巷１８號５樓,,106/12/22,1100,43,25.56,85.67%,公寓(5樓含以下無電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,本案為親屬間買賣,,
木新路二段２１８巷２９號４樓,,106/12/21,950,40.7,23.36,87.93%,公寓(5樓含以下無電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。權利人姓名有難字，無法顯示。含增建或未登記建物。;,,
指南路三段５８號,水鋼琴,106/12/21,1910,42,45.47,66.27%,住宅大樓(11層含以上有電梯),18,一層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
汀州路四段８５巷１４弄４號三樓,,106/12/21,1500,45.7,32.83,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
指南路三段５８號二樓,水鋼琴,106/12/21,1680,37,45.47,66.27%,住宅大樓(11層含以上有電梯),18,二層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
福興路１０６巷３５號,敦南觀止,106/12/21,1860,52.9,35.18,61.49%,住宅大樓(11層含以上有電梯),5,一層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。;,,
福興路９５巷４９號六樓,太平洋敦南大地Ｂ區,106/12/20,800,41.6,19.22,76.99%,華廈(10層含以下有電梯),17,六層/九層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
新光路二段２３巷６號,,106/12/20,250,10.9,22.9,,公寓(5樓含以下無電梯),21,一層/一層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。 含增建或未登記建物。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
辛亥路４段１６６巷２６弄２之７號３樓,,106/12/20,450,18.1,24.8,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
新光路ㄧ段９５巷９弄４號,,106/12/20,1300,49.4,26.31,83.19%,公寓(5樓含以下無電梯),40,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,其他,,,
木柵路四段１４９巷２１號二樓之５,文山101.7,106/12/19,700,53.7,13.04,62.57%,套房(1房(1廳)1衛),8,二層/八層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
辛亥路五段５６號６樓,靜心集,106/12/19,1088,63.8,17.06,52.30%,套房(1房(1廳)1衛),,六層/九層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
木新路二段１４１號二樓,,106/12/19,1150,35.9,32.03,87.47%,公寓(5樓含以下無電梯),33,二層/五層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,,,
政大二街１１１號四樓,普羅旺世,106/12/19,1180,23.5,50.15,62.94%,住宅大樓(11層含以上有電梯),21,四層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路五段５６號四樓,靜心集,106/12/19,1058,62,17.06,52.30%,華廈(10層含以下有電梯),,四層/九層,房地(土地+建物),土:1 建:1車:0,,,有,無,住家用,,,
景興路２５２號５樓之２,,106/12/19,1045,33.9,30.86,95.05%,公寓(5樓含以下無電梯),36,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,,,
指南路二段４５巷５號５樓,,106/12/19,900,36,24.99,84.02%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
萬寧街１６號２樓,,106/12/18,1152,27.4,41.97,80.50%,公寓(5樓含以下無電梯),30,二層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
景興路１８８號１５樓之２,巨星廣場大廈住商,106/12/18,520,37.9,13.73,44.72%,套房(1房(1廳)1衛),22,十五層/二十四層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,無,住家用,含增建或未登記建物-陽台加窗。 權利人登記二人含增建或未登記建物。;,,
