"買賣案件:臺北市文山區房地(土地+建物),建物,109 年 1 月 至109 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
木柵路二段７巷６號,,109/12/31,1800,57.1,31.52,100.00%,公寓(5樓含以下無電梯),52,一層/三層,房地(土地+建物),土:2 建:1車:0,6房1廳6衛,,無,無,住家用,,,
指南路二段４５巷２４弄１１號四樓,,109/12/31,1555,49.8,31.22,100.00%,公寓(5樓含以下無電梯),,"四層,陽臺/四層",房地(土地+建物),土:5 建:1車:0,4房1廳1衛,,無,無,住家用,其他增建;,,
指南路二段４５巷１０弄５號,,109/12/31,1650,42.2,39.07,62.27%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,5房1廳2衛,,無,無,商業用,本買賣標的包含地下室含裝潢費;含傢俱設備費;親友、員工、共有人或其他特殊關係間之交易;夾層;,,
辛亥路四段７７巷３３號九樓,,109/12/31,1750,48.8,35.88,62.41%,住宅大樓(11層含以上有電梯),24,九層/十五層,房地(土地+建物),土:4 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,,
羅斯福路五段２１８巷３８弄１１號十三樓,蝶飛鳳舞,109/12/31,903,68.7,13.15,61.42%,住宅大樓(11層含以上有電梯),23,十三層/十六層,房地(土地+建物),土:3 建:1車:0,0房1廳1衛,,有,有,住家用,,,
光輝路１１２巷３號三樓,,109/12/31,480,17.6,27.22,90.10%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
興隆路三段２０７巷１８弄１２號五樓,寶來,109/12/30,726,23.7,30.58,74.05%,公寓(5樓含以下無電梯),36,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
木新路三段９５巷２弄８號二樓,,109/12/30,650,22.1,29.48,100.00%,公寓(5樓含以下無電梯),,"二層,陽臺/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;,,
木柵路四段１３７號十六樓之２,信義18號,109/12/30,2838,57.4,49.45,62.03%,住宅大樓(11層含以上有電梯),10,十六層/十九層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,有,有,住家用,,,
興隆路二段２０３巷４８號八樓,,109/12/30,1240.6,38.6,32.16,70.98%,住宅大樓(11層含以上有電梯),22,八層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
木新路二段２９號七樓,綠隄,109/12/30,1275,52,24.52,61.66%,住宅大樓(11層含以上有電梯),25,七層/十四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,,,
指南路三段３３巷１７號,,109/12/29,760,0,19.78,,透天厝,,全/二層,房地(土地+建物),土:5 建:1車:0,4房2廳2衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;,,
木新路二段２２６號四樓,,109/12/29,910,34.2,26.59,93.29%,公寓(5樓含以下無電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
辛亥路四段２０９巷２２號四樓,南方莊園,109/12/29,1610,59.5,27.06,57.60%,住宅大樓(11層含以上有電梯),1,四層/二十六層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,有,住家用,管理組織尚未成立；買賣總價款新台幣1610萬元，其中土地價款新台幣1127萬元正，房屋價款新台幣483萬元正。,,
景興路１８８號八樓之１４,巨星廣場大廈住商,109/12/29,720,44.9,16.04,44.78%,住宅大樓(11層含以上有電梯),25,八層/二十四層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,有,商業用,,,
興隆路一段２０２巷７弄６號三樓,,109/12/29,1155,41.5,27.84,100.00%,公寓(5樓含以下無電梯),47,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
忠順街一段１２５號四樓,,109/12/29,1268,41.4,30.64,89.90%,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;,,
溪口街８９之２號四樓,,109/12/28,2055,44,46.75,87.34%,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建;,,
木柵路二段１６１巷６號,,109/12/28,1280,51.2,24.98,100.00%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;,,
試院路１５２之２號,盛世新航,109/12/28,601,33.6,17.9,52.07%,華廈(10層含以下有電梯),17,一層/五層,房地(土地+建物),土:2 建:1車:0,1房0廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;夾層;,,
興隆路一段５５巷２７弄１８號四樓之４,,109/12/28,1400,48.1,29.12,84.52%,華廈(10層含以下有電梯),,四層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,,
木新路三段３９９號三樓,,109/12/28,1200,40,30.02,74.92%,公寓(5樓含以下無電梯),30,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,,
溪口街８５巷１１號四樓,台大御庭園,109/12/28,695,21.6,32.17,77.49%,華廈(10層含以下有電梯),25,四層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
忠順街二段１００號五樓,立體世界,109/12/27,1450,54,26.85,63.90%,華廈(10層含以下有電梯),24,"五層,電梯樓梯間/八層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,商業用,陽台外推;夾層;其他增建;,,
興隆路三段１５２巷１２號十樓,,109/12/27,1550,72.2,21.47,57.28%,住宅大樓(11層含以上有電梯),1,十層/十四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,,,
政大一街２０６號,仰沐別墅,109/12/27,4850,0,91.79,,透天厝,10,全/四層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,有,無,住家用,其他增建;,,
辛亥路四段１６６巷９號三樓,,109/12/26,1000,44.5,22.46,100.00%,公寓(5樓含以下無電梯),,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;,,
興隆路三段２２１巷８弄１４號二樓,家家,109/12/26,880,32.9,26.75,84.34%,公寓(5樓含以下無電梯),40,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,無,住家用,,,
木新路三段１８９巷９號,,109/12/26,2023,0,19.06,,透天厝,,全/一層,房地(土地+建物),土:4 建:1車:0,0房1廳0衛,,無,無,其他,建物：50000，土地：20179584,,
景興路１８８號十八樓之６,巨星廣場大廈住商,109/12/26,810,46.1,17.56,45.26%,住宅大樓(11層含以上有電梯),25,十八層/二十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,,,
興隆路四段１０５巷２９號地下之１７,早安再興,109/12/25,502,39.8,12.61,65.08%,住宅大樓(11層含以上有電梯),25,地下一層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,商業用,,,
新光路一段９５巷２２號四樓,,109/12/25,1200,39.3,30.5,77.83%,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
羅斯福路五段１５０巷２６號三樓,,109/12/24,1300,54.9,23.68,79.15%,公寓(5樓含以下無電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;,,
萬芳路１０７巷９號九樓,涵碧園,109/12/24,2000,59.2,33.79,48.92%,住宅大樓(11層含以上有電梯),13,九層/十五層,房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;,,
