"買賣案件:新北市新店區房地(土地+建物),建物,104 年 11 月 至104 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
錦秀路９－１號三樓,,104/12/31,505,17.9,28.25,91.09%,公寓(5樓含以下無電梯),31,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
永平街３７巷４號８樓,歐堡名門,104/12/31,1030,37.7,27.35,67.44%,住宅大樓(11層含以上有電梯),21,八層/十一層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,,,
北新路一段１２６巷１０號７樓,W太子,104/12/31,1797,66.8,26.89,54.33%,住宅大樓(11層含以上有電梯),,七層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安興路１３-３號六樓及安興路５－２１（單）地下四．五層,三圓羅馬,104/12/31,500,24,20.85,63.18%,住宅大樓(11層含以上有電梯),21,六層/二十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
二十張路４６巷３７弄２１－４號,,104/12/31,1500,46.7,32.15,82.70%,公寓(5樓含以下無電梯),29,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
安祥路１０２巷４６弄１０１號,,104/12/31,1800,0,61.2,,透天厝,19,全/三層,房地(土地+建物),土:6 建:1車:0,5房2廳3衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
寶橋路７８巷４８號１０樓,玉上園,104/12/31,1940,49.2,39.43,60.21%,住宅大樓(11層含以上有電梯),2,十層/二十三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
三民路７５巷１弄８號２樓,,104/12/31,1000,44.8,22.34,100.00%,公寓(5樓含以下無電梯),37,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
新祥街９號二樓,,104/12/31,840,39.7,21.18,,公寓(5樓含以下無電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,,,
新生街１３巷７號,,104/12/31,1100,34.2,32.18,100.00%,公寓(5樓含以下無電梯),39,一層/四層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
寶宏路４０巷１８號一樓,,104/12/31,580,20.3,28.51,100.00%,公寓(5樓含以下無電梯),40,一層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。(兄妹)親友、員工或其他特殊關係間之交易。;,,
安康路二段２４２巷２號三樓,,104/12/31,780,26.2,29.76,85.54%,公寓(5樓含以下無電梯),29,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
溪園路５０５號十四樓,湯泉,104/12/30,275,7.9,34.88,64.42%,住宅大樓(11層含以上有電梯),13,十四層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,此案為二親等買賣親友、員工或其他特殊關係間之交易。;,,
北新路二段１３９巷１２弄１７號三樓,,104/12/30,588,20.5,28.67,84.21%,公寓(5樓含以下無電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,此案為二親等買賣親友、員工或其他特殊關係間之交易。;,,
安成街１８號,浪漫貴族,104/12/30,184,7.6,24.12,,店面（店舖),24,一層/十一層,房地(土地+建物),土:1 建:1車:0,,,有,無,商業用,此案為二親等買賣親友、員工或其他特殊關係間之交易。;,,
直潭四街７７號,,104/12/30,1680,0,63.38,,透天厝,19,全/二層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,有,無,住家用,,,
中興路３段１７４號,,104/12/30,771.8,31.6,24.41,,店面（店舖),45,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
溪園路３８９之１５號７樓,湯泉美地,104/12/30,830,64.7,12.84,65.76%,套房(1房(1廳)1衛),12,七層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,含家具.家電；建物面積內容更正，原申報書編號A2FC10503150003,,
寶興路６６巷８號四樓,,104/12/29,700,22.6,31.03,83.94%,公寓(5樓含以下無電梯),37,四層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,,
華城二路７２號,,104/12/29,1800,0,51.49,,透天厝,31,全/二層,房地(土地+建物),土:1 建:1車:0,6房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
花園十路一段７－４０４號,,104/12/28,730,27.1,26.91,82.87%,華廈(10層含以下有電梯),42,四層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
安康路二段２０６巷１２號八樓,品值寶鎮,104/12/28,950,32.9,28.9,80.36%,住宅大樓(11層含以上有電梯),18,八層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中華路２２號三樓之３,捷運楓華,104/12/28,881,52.2,16.89,54.85%,住宅大樓(11層含以上有電梯),,三層/十四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,建物第一次登記後移轉 親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,,
松林路３０－１號六樓,,104/12/28,350,8.9,39.52,,華廈(10層含以下有電梯),34,六層/七層,房地(土地+建物),土:1 建:2車:0,1房2廳1衛,,有,無,住家用,,,
德正街２７巷２９弄５０號,,104/12/28,685,30.5,22.47,100.00%,公寓(5樓含以下無電梯),38,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
中正路３０９號三樓,,104/12/28,1388,32.2,43.14,100.00%,公寓(5樓含以下無電梯),42,三層/四層,房地(土地+建物),土:2 建:1車:0,,,無,無,住家用,,,
安康路２段１５９巷１號５樓之１,鮮境,104/12/27,1050,31.4,33.46,72.31%,住宅大樓(11層含以上有電梯),14,五層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
明德路６３巷４號三樓,,104/12/27,1468,39.5,37.13,87.25%,公寓(5樓含以下無電梯),40,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
中華路２２號三樓之５,捷運楓華,104/12/27,935,54.9,17.02,54.82%,住宅大樓(11層含以上有電梯),,三層/十四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;,,
中正路７００巷１２號１４樓,大鵬華城,104/12/27,1888,32.6,57.97,52.81%,住宅大樓(11層含以上有電梯),16,十四層/十六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,本交易標的有車位使用權。單獨車位交易。;,,
中正路４３４號４樓,雄霸雙星,104/12/27,680,40.7,16.69,78.40%,套房(1房(1廳)1衛),19,四層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
環河路２４號１４樓,天闊,104/12/27,1500,48.3,31.08,63.83%,住宅大樓(11層含以上有電梯),16,十四層/三十六層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,,,
北新路三段６５巷４２號二樓,,104/12/26,1350,46.6,28.97,90.87%,公寓(5樓含以下無電梯),34,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
中正路７６巷１１弄１９號二樓,,104/12/26,777,35,22.22,100.00%,公寓(5樓含以下無電梯),43,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中正路７６巷１１弄２７號３樓,,104/12/26,960,31,30.97,88.04%,公寓(5樓含以下無電梯),43,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中正路１１７巷２８號４樓,,104/12/26,500,18.2,27.47,88.57%,公寓(5樓含以下無電梯),35,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,本買賣案件屬三親等間特殊交易，其交易價格可能異於市場正常交易價格。親友、員工或其他特殊關係間之交易。;,,
大新街９巷１號四樓,,104/12/26,910,45,20.24,100.00%,公寓(5樓含以下無電梯),41,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,,,
安泰路２２號７樓,璦丁堡,104/12/25,755,27.4,27.51,61.47%,華廈(10層含以下有電梯),,七層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;,,
三民路９４巷８號二樓,,104/12/25,680,34.2,19.87,,公寓(5樓含以下無電梯),41,二層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
